Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD ASHRAF MUSTAQIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SHAHAR BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD AZHAR BIN MOHD NOOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
6,084/17/02,SMK SUNGAI LEMBING,5.0,388,259,93,36,388,0,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
7,084/17/03,SK SUNGAI LEMBING,1.0,242,33,163,36,232,10,0,KUALA KENAU ,UNDI BIASA
7,084/17/03,SK SUNGAI LEMBING,2.0,320,46,224,39,309,11,0,KUALA KENAU ,UNDI BIASA
8,084/17/04,SK LKTP BUKIT SAGU 1,1.0,317,15,199,90,304,13,0,FELDA BUKIT SAGU ,UNDI BIASA
8,084/17/04,SK LKTP BUKIT SAGU 1,2.0,593,52,348,185,585,8,0,FELDA BUKIT SAGU ,UNDI BIASA
8,084/17/04,SK LKTP BUKIT SAGU 1,3.0,524,55,279,189,523,1,0,FELDA BUKIT SAGU ,UNDI BIASA
8,084/17/04,SK LKTP BUKIT SAGU 1,4.0,490,78,232,179,489,1,0,FELDA BUKIT SAGU ,UNDI BIASA
8,084/17/04,SK LKTP BUKIT SAGU 1,5.0,493,75,202,212,489,4,0,FELDA BUKIT SAGU ,UNDI BIASA
8,084/17/04,SK LKTP BUKIT SAGU 1,6.0,479,66,210,200,476,3,0,FELDA BUKIT SAGU ,UNDI BIASA
9,084/17/05,SK LKTP BUKIT KUANTAN,1.0,297,26,164,86,276,21,0,FELDA BUKIT KUANTAN ,UNDI BIASA
9,084/17/05,SK LKTP BUKIT KUANTAN,2.0,493,77,266,142,485,8,0,FELDA BUKIT KUANTAN ,UNDI BIASA
9,084/17/05,SK LKTP BUKIT KUANTAN,3.0,453,80,193,177,450,3,0,FELDA BUKIT KUANTAN ,UNDI BIASA
9,084/17/05,SK LKTP BUKIT KUANTAN,4.0,449,81,156,211,448,1,0,FELDA BUKIT KUANTAN ,UNDI BIASA
10,084/17/06,SMK BUKIT GOH,1.0,285,39,192,46,277,8,0,FELDA BUKIT GOH ,UNDI BIASA
10,084/17/06,SMK BUKIT GOH,2.0,568,89,341,125,555,13,0,FELDA BUKIT GOH ,UNDI BIASA
10,084/17/06,SMK BUKIT GOH,3.0,560,125,254,180,559,1,0,FELDA BUKIT GOH ,UNDI BIASA
10,084/17/06,SMK BUKIT GOH,4.0,518,110,217,188,515,3,0,FELDA BUKIT GOH ,UNDI BIASA
10,084/17/06,SMK BUKIT GOH,5.0,507,119,189,198,506,1,0,FELDA BUKIT GOH ,UNDI BIASA
10,084/17/06,SMK BUKIT GOH,6.0,494,122,204,167,493,1,0,FELDA BUKIT GOH ,UNDI BIASA
11,084/17/07,SK BUKIT KUIN,1.0,302,49,172,73,294,8,0,BUKIT KUIN ,UNDI BIASA
11,084/17/07,SK BUKIT KUIN,2.0,362,79,157,123,359,3,0,BUKIT KUIN ,UNDI BIASA
11,084/17/07,SK BUKIT KUIN,3.0,365,57,157,148,362,3,0,BUKIT KUIN ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,1.0,277,94,131,46,271,6,0,MAHKOTA JAYA ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,2.0,540,173,230,127,530,10,0,MAHKOTA JAYA ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,3.0,542,150,218,173,541,1,0,MAHKOTA JAYA ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,4.0,508,187,170,150,507,1,0,MAHKOTA JAYA ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,5.0,440,184,131,123,438,2,0,MAHKOTA JAYA ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,6.0,467,186,143,134,463,4,0,MAHKOTA JAYA ,UNDI BIASA
12,084/18/01,SK SERI MAHKOTA,7.0,501,177,182,142,501,0,0,MAHKOTA JAYA ,UNDI BIASA
13,084/18/02,SK GAMBANG,1.0,216,42,132,39,213,3,0,SERI FAJAR ,UNDI BIASA
13,084/18/02,SK GAMBANG,2.0,294,60,170,63,293,1,0,SERI FAJAR ,UNDI BIASA
14,084/18/03,SJK(C) GAMBANG,1.0,260,155,97,5,257,3,0,GAMBANG ,UNDI BIASA
14,084/18/03,SJK(C) GAMBANG,2.0,507,368,123,8,499,8,0,GAMBANG ,UNDI BIASA
14,084/18/03,SJK(C) GAMBANG,3.0,492,387,87,15,489,3,0,GAMBANG ,UNDI BIASA
14,084/18/03,SJK(C) GAMBANG,4.0,483,355,80,44,479,4,0,GAMBANG ,UNDI BIASA
15,084/18/04,DEWAN ORANG RAMAI GAMBANG,1.0,259,185,65,5,255,4,0,JALAN BESAR ,UNDI BIASA
16,084/18/05,SK LKTP LEPAR HILIR 1,1.0,315,35,195,71,301,14,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
16,084/18/05,SK LKTP LEPAR HILIR 1,2.0,641,84,421,125,630,11,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
16,084/18/05,SK LKTP LEPAR HILIR 1,3.0,505,94,238,172,504,1,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
16,084/18/05,SK LKTP LEPAR HILIR 1,4.0,496,93,226,173,492,4,0,FELDA LEPAR HILIR SATU ,UNDI BIASA
17,084/18/06,SK LKTP LEPAR HILIR 2,1.0,331,32,218,74,324,7,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
17,084/18/06,SK LKTP LEPAR HILIR 2,2.0,397,58,80,255,393,4,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
17,084/18/06,SK LKTP LEPAR HILIR 2,3.0,351,61,178,109,348,3,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
17,084/18/06,SK LKTP LEPAR HILIR 2,4.0,362,75,152,128,355,7,0,FELDA LEPAR HILIR DUA ,UNDI BIASA
18,084/18/07,SK LKTP LEPAR HILIR 3,1.0,312,32,216,54,302,10,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
18,084/18/07,SK LKTP LEPAR HILIR 3,2.0,470,84,272,111,467,3,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
18,084/18/07,SK LKTP LEPAR HILIR 3,3.0,437,95,201,135,431,5,1,FELDA LEPAR HILIR TIGA ,UNDI BIASA
18,084/18/07,SK LKTP LEPAR HILIR 3,4.0,428,91,203,127,421,7,0,FELDA LEPAR HILIR TIGA ,UNDI BIASA
19,084/18/08,SK PAYA BUNGOR,1.0,290,34,197,22,253,37,0,PAYA BUNGOR ,UNDI BIASA
19,084/18/08,SK PAYA BUNGOR,2.0,398,75,265,51,391,7,0,PAYA BUNGOR ,UNDI BIASA
19,084/18/08,SK PAYA BUNGOR,3.0,392,84,239,62,385,7,0,PAYA BUNGOR ,UNDI BIASA
20,084/18/09,SMK LEPAR UTARA,1.0,312,8,205,91,304,8,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
20,084/18/09,SMK LEPAR UTARA,2.0,470,16,303,140,459,11,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
20,084/18/09,SMK LEPAR UTARA,3.0,417,35,268,112,415,2,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
20,084/18/09,SMK LEPAR UTARA,4.0,331,42,157,130,329,2,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
20,084/18/09,SMK LEPAR UTARA,5.0,352,48,140,161,349,3,0,FELDA LEPAR UTARA SATU ,UNDI BIASA
21,084/19/01,SMK BUKIT RANGIN,1.0,302,39,154,101,294,8,0,BUKIT RANGIN ,UNDI BIASA
21,084/19/01,SMK BUKIT RANGIN,2.0,572,115,239,215,569,3,0,BUKIT RANGIN ,UNDI BIASA
21,084/19/01,SMK BUKIT RANGIN,3.0,525,96,166,258,520,5,0,BUKIT RANGIN ,UNDI BIASA
21,084/19/01,SMK BUKIT RANGIN,4.0,505,87,168,247,502,3,0,BUKIT RANGIN ,UNDI BIASA
21,084/19/01,SMK BUKIT RANGIN,5.0,532,154,114,262,530,2,0,BUKIT RANGIN ,UNDI BIASA
21,084/19/01,SMK BUKIT RANGIN,6.0,561,202,112,245,559,2,0,BUKIT RANGIN ,UNDI BIASA
22,084/19/02,SK PERMATANG BADAK,1.0,260,34,144,79,257,3,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
22,084/19/02,SK PERMATANG BADAK,2.0,481,79,213,180,472,9,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
22,084/19/02,SK PERMATANG BADAK,3.0,476,100,173,198,471,5,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
22,084/19/02,SK PERMATANG BADAK,4.0,458,122,146,190,458,0,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
22,084/19/02,SK PERMATANG BADAK,5.0,435,148,115,172,435,0,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
22,084/19/02,SK PERMATANG BADAK,6.0,434,114,130,189,433,1,0,KAMPUNG PERMATANG BADAK ,UNDI BIASA
23,084/19/03,SK PANDAN,1.0,288,35,146,102,283,5,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,2.0,545,128,233,177,538,7,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,3.0,545,117,234,191,542,3,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,4.0,527,119,184,221,524,3,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,5.0,501,140,149,209,498,3,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,6.0,488,145,136,206,487,1,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,7.0,492,175,106,210,491,1,0,PANDAN PERMAI ,UNDI BIASA
23,084/19/03,SK PANDAN,8.0,518,147,142,227,516,2,0,PANDAN PERMAI ,UNDI BIASA
24,084/19/04,SMK PANDAN,1.0,269,156,86,21,263,6,0,TAMAN TAS ,UNDI BIASA
24,084/19/04,SMK PANDAN,2.0,526,312,140,71,523,3,0,TAMAN TAS ,UNDI BIASA
24,084/19/04,SMK PANDAN,3.0,523,299,133,91,523,0,0,TAMAN TAS ,UNDI BIASA
24,084/19/04,SMK PANDAN,4.0,497,288,114,90,492,5,0,TAMAN TAS ,UNDI BIASA
24,084/19/04,SMK PANDAN,5.0,481,318,82,79,479,2,0,TAMAN TAS ,UNDI BIASA
24,084/19/04,SMK PANDAN,6.0,449,247,100,99,446,3,0,TAMAN TAS ,UNDI BIASA
24,084/19/04,SMK PANDAN,7.0,496,250,110,136,496,0,0,TAMAN TAS ,UNDI BIASA
25,084/19/05,SK LKTP SUNGAI PANCHING SELATAN,1.0,298,21,206,41,268,30,0,FELDA SUNGAI PANCHING SELATAN ,UNDI BIASA
25,084/19/05,SK LKTP SUNGAI PANCHING SELATAN,2.0,496,64,289,132,485,11,0,FELDA SUNGAI PANCHING SELATAN ,UNDI BIASA
25,084/19/05,SK LKTP SUNGAI PANCHING SELATAN,3.0,450,67,226,149,442,8,0,FELDA SUNGAI PANCHING SELATAN ,UNDI BIASA
26,084/19/06,SK LKTP SUNGAI PANCHING TIMUR,1.0,314,25,191,89,305,9,0,FELDA SUNGAI PANCHING TIMUR ,UNDI BIASA
26,084/19/06,SK LKTP SUNGAI PANCHING TIMUR,2.0,458,66,237,151,454,4,0,FELDA SUNGAI PANCHING TIMUR ,UNDI BIASA
26,084/19/06,SK LKTP SUNGAI PANCHING TIMUR,3.0,433,55,202,172,429,4,0,FELDA SUNGAI PANCHING TIMUR ,UNDI BIASA
26,084/19/06,SK LKTP SUNGAI PANCHING TIMUR,4.0,429,49,167,208,424,5,0,FELDA SUNGAI PANCHING TIMUR ,UNDI BIASA
27,084/19/07,SK LKTP SUNGAI PANCHING UTARA,1.0,304,27,214,46,287,17,0,FELDA SUNGAI PANCHING UTARA ,UNDI BIASA
27,084/19/07,SK LKTP SUNGAI PANCHING UTARA,2.0,437,61,238,134,433,4,0,FELDA SUNGAI PANCHING UTARA ,UNDI BIASA
27,084/19/07,SK LKTP SUNGAI PANCHING UTARA,3.0,402,64,160,174,398,4,0,FELDA SUNGAI PANCHING UTARA ,UNDI BIASA
27,084/19/07,SK LKTP SUNGAI PANCHING UTARA,4.0,397,75,151,162,388,9,0,FELDA SUNGAI PANCHING UTARA ,UNDI BIASA
28,084/19/08,SK PANCHING,1.0,296,65,144,75,284,12,0,KAMPUNG PANCHING ,UNDI BIASA
28,084/19/08,SK PANCHING,2.0,609,156,247,193,596,13,0,KAMPUNG PANCHING ,UNDI BIASA
28,084/19/08,SK PANCHING,3.0,548,132,213,199,544,4,0,KAMPUNG PANCHING ,UNDI BIASA
