Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG LEAP PONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHIN CHOY HEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHOW YU HUI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
7,080/07/05,SJK(C) SEMPALIT,2.0,431,72,1,353,426,5,0,KAMPUNG BARU SEMPALIT ,UNDI BIASA
7,080/07/05,SJK(C) SEMPALIT,3.0,428,63,3,357,423,5,0,KAMPUNG BARU SEMPALIT ,UNDI BIASA
7,080/07/05,SJK(C) SEMPALIT,4.0,427,52,2,371,425,2,0,KAMPUNG BARU SEMPALIT ,UNDI BIASA
7,080/07/05,SJK(C) SEMPALIT,5.0,389,35,2,351,388,1,0,KAMPUNG BARU SEMPALIT ,UNDI BIASA
8,080/07/06,SMK SERI RAUB,1.0,256,99,13,137,249,7,0,SIMPANG KALLANG ,UNDI BIASA
8,080/07/06,SMK SERI RAUB,2.0,506,179,64,260,503,3,0,SIMPANG KALLANG ,UNDI BIASA
8,080/07/06,SMK SERI RAUB,3.0,465,137,52,276,465,0,0,SIMPANG KALLANG ,UNDI BIASA
8,080/07/06,SMK SERI RAUB,4.0,420,103,42,272,417,3,0,SIMPANG KALLANG ,UNDI BIASA
8,080/07/06,SMK SERI RAUB,5.0,412,99,67,244,410,2,0,SIMPANG KALLANG ,UNDI BIASA
8,080/07/06,SMK SERI RAUB,6.0,465,140,106,213,459,6,0,SIMPANG KALLANG ,UNDI BIASA
9,080/07/07,SMK DATO SHAH BANDAR HUSSAIN,1.0,175,56,24,92,172,3,0,KAMPUNG MELAYU ,UNDI BIASA
10,080/07/08,SJK(C) YUH HWA,1.0,254,49,5,183,237,17,0,BUKIT KOMAN ,UNDI BIASA
10,080/07/08,SJK(C) YUH HWA,2.0,422,81,4,335,420,2,0,BUKIT KOMAN ,UNDI BIASA
10,080/07/08,SJK(C) YUH HWA,3.0,424,38,2,382,422,2,0,BUKIT KOMAN ,UNDI BIASA
10,080/07/08,SJK(C) YUH HWA,4.0,412,27,8,371,406,6,0,BUKIT KOMAN ,UNDI BIASA
10,080/07/08,SJK(C) YUH HWA,5.0,395,36,16,343,395,0,0,BUKIT KOMAN ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,1.0,285,72,5,196,273,12,0,SUNGAI LUI ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,2.0,576,150,26,394,570,6,0,SUNGAI LUI ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,3.0,563,115,23,422,560,3,0,SUNGAI LUI ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,4.0,535,110,41,381,532,3,0,SUNGAI LUI ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,5.0,528,119,69,338,526,2,0,SUNGAI LUI ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,6.0,513,95,94,321,510,3,0,SUNGAI LUI ,UNDI BIASA
11,080/07/09,SJK(C) SUNGAI LUI,7.0,544,142,91,301,534,10,0,SUNGAI LUI ,UNDI BIASA
12,080/07/10,SK MAHMUD,1.0,241,105,13,118,236,5,0,TAMAN SENTOSA ,UNDI BIASA
12,080/07/10,SK MAHMUD,2.0,302,99,36,165,300,2,0,TAMAN SENTOSA ,UNDI BIASA
12,080/07/10,SK MAHMUD,3.0,291,51,22,215,288,3,0,TAMAN SENTOSA ,UNDI BIASA
12,080/07/10,SK MAHMUD,4.0,284,43,48,193,284,0,0,TAMAN SENTOSA ,UNDI BIASA
13,080/07/11,SMK CHUNG CHING,1.0,192,43,2,146,191,1,0,BANDAR RAUB ,UNDI BIASA
13,080/07/11,SMK CHUNG CHING,2.0,232,51,9,171,231,1,0,BANDAR RAUB ,UNDI BIASA
14,080/07/12,SMK MAHMUD,1.0,281,92,4,181,277,4,0,RAUB JAYA ,UNDI BIASA
14,080/07/12,SMK MAHMUD,2.0,539,142,25,369,536,3,0,RAUB JAYA ,UNDI BIASA
14,080/07/12,SMK MAHMUD,3.0,500,88,24,386,498,2,0,RAUB JAYA ,UNDI BIASA
14,080/07/12,SMK MAHMUD,4.0,519,95,41,379,515,4,0,RAUB JAYA ,UNDI BIASA
15,080/07/13,SJK(C) TRAS,1.0,294,100,2,190,292,0,2,PEKAN TRAS ,UNDI BIASA
15,080/07/13,SJK(C) TRAS,2.0,337,67,5,264,336,1,0,PEKAN TRAS ,UNDI BIASA
15,080/07/13,SJK(C) TRAS,3.0,338,45,3,283,331,6,1,PEKAN TRAS ,UNDI BIASA
16,080/07/14,PEJABAT PERBADANAN KEMAJUAN BUKIT FRASER,1.0,190,100,19,67,186,4,0,BUKIT FRASER ,UNDI BIASA
17,080/07/15,SJK(C) SUNGAI CHETANG,1.0,202,85,3,111,199,3,0,SUNGAI CHETANG ,UNDI BIASA
17,080/07/15,SJK(C) SUNGAI CHETANG,2.0,262,89,9,150,248,14,0,SUNGAI CHETANG ,UNDI BIASA
18,080/07/16,SJK(C) SANG LEE,1.0,195,105,2,88,195,0,0,KAMPUNG SANG LEE ,UNDI BIASA
18,080/07/16,SJK(C) SANG LEE,2.0,219,72,1,144,217,2,0,KAMPUNG SANG LEE ,UNDI BIASA
