Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' NAZRI NGAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD NAAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR JAMALUDDIN HJ ABD RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
5,081/11/03,SK LKTP TEKAM UTARA,1.0,304,198,92,7,297,7,0,FELDA SUNGAI TEKAM UTARA ,UNDI BIASA
5,081/11/03,SK LKTP TEKAM UTARA,2.0,409,220,167,17,404,5,0,FELDA SUNGAI TEKAM UTARA ,UNDI BIASA
5,081/11/03,SK LKTP TEKAM UTARA,3.0,368,138,190,40,368,0,0,FELDA SUNGAI TEKAM UTARA ,UNDI BIASA
5,081/11/03,SK LKTP TEKAM UTARA,4.0,347,128,189,29,346,1,0,FELDA SUNGAI TEKAM UTARA ,UNDI BIASA
6,081/11/04,BALAI RAYA KAMPUNG PERAK,1.0,115,72,32,7,111,4,0,KAMPUNG PERAK ,UNDI BIASA
7,081/11/05,SK PUSAT PENYELIDIKAN PERTANIAN TUN RAZAK,1.0,276,141,98,33,272,4,0,PUSAT PENYELIDIKAN TUN RAZAK ,UNDI BIASA
7,081/11/05,SK PUSAT PENYELIDIKAN PERTANIAN TUN RAZAK,2.0,289,98,131,57,286,3,0,PUSAT PENYELIDIKAN TUN RAZAK ,UNDI BIASA
8,081/11/06,SK LKTP SUNGAI TEKAM,1.0,281,166,47,10,223,58,0,FELDA SUNGAI TEKAM ,UNDI BIASA
8,081/11/06,SK LKTP SUNGAI TEKAM,2.0,389,215,143,28,386,2,1,FELDA SUNGAI TEKAM ,UNDI BIASA
8,081/11/06,SK LKTP SUNGAI TEKAM,3.0,337,148,146,43,337,0,0,FELDA SUNGAI TEKAM ,UNDI BIASA
9,081/11/07,SMK LKTP JENGKA 10,1.0,302,162,119,12,293,9,0,FELDA JENGKA 10 ,UNDI BIASA
9,081/11/07,SMK LKTP JENGKA 10,2.0,410,198,178,33,409,1,0,FELDA JENGKA 10 ,UNDI BIASA
9,081/11/07,SMK LKTP JENGKA 10,3.0,372,128,185,55,368,4,0,FELDA JENGKA 10 ,UNDI BIASA
9,081/11/07,SMK LKTP JENGKA 10,4.0,346,110,167,67,344,2,0,FELDA JENGKA 10 ,UNDI BIASA
10,081/11/08,SK LKTP JENGKA 8,1.0,297,180,103,11,294,3,0,FELDA JENGKA 8 ,UNDI BIASA
10,081/11/08,SK LKTP JENGKA 8,2.0,528,253,233,38,524,4,0,FELDA JENGKA 8 ,UNDI BIASA
10,081/11/08,SK LKTP JENGKA 8,3.0,479,164,253,60,477,2,0,FELDA JENGKA 8 ,UNDI BIASA
11,081/11/09,SK LKTP JENGKA 9,1.0,310,169,116,14,299,11,0,FELDA JENGKA 9 ,UNDI BIASA
11,081/11/09,SK LKTP JENGKA 9,2.0,447,187,211,49,447,0,0,FELDA JENGKA 9 ,UNDI BIASA
11,081/11/09,SK LKTP JENGKA 9,3.0,408,123,239,45,407,1,0,FELDA JENGKA 9 ,UNDI BIASA
12,081/11/10,SK LKTP JENGKA 12,1.0,315,210,89,9,308,7,0,FELDA JENGKA 12 ,UNDI BIASA
12,081/11/10,SK LKTP JENGKA 12,2.0,384,205,143,28,376,8,0,FELDA JENGKA 12 ,UNDI BIASA
12,081/11/10,SK LKTP JENGKA 12,3.0,353,140,177,31,348,5,0,FELDA JENGKA 12 ,UNDI BIASA
12,081/11/10,SK LKTP JENGKA 12,4.0,358,114,197,45,356,1,1,FELDA JENGKA 12 ,UNDI BIASA
13,081/11/11,SK LKTP JENGKA 13,1.0,316,174,87,48,309,7,0,FELDA JENGKA 13 ,UNDI BIASA
13,081/11/11,SK LKTP JENGKA 13,2.0,491,221,204,56,481,10,0,FELDA JENGKA 13 ,UNDI BIASA
13,081/11/11,SK LKTP JENGKA 13,3.0,472,151,231,87,469,2,1,FELDA JENGKA 13 ,UNDI BIASA
14,081/11/12,SK LKTP JENGKA 24,1.0,333,202,112,13,327,6,0,FELDA JENGKA 24 ,UNDI BIASA
14,081/11/12,SK LKTP JENGKA 24,2.0,375,167,168,31,366,9,0,FELDA JENGKA 24 ,UNDI BIASA
14,081/11/12,SK LKTP JENGKA 24,3.0,349,149,167,30,346,3,0,FELDA JENGKA 24 ,UNDI BIASA
15,081/11/13,SK DURIAN HIJAU,1.0,193,97,81,14,192,1,0,DURIAN HIJAU ,UNDI BIASA
16,081/11/14,SK BUKIT NIKMAT,1.0,242,109,109,18,236,6,0,BUKIT NIKMAT ,UNDI BIASA
16,081/11/14,SK BUKIT NIKMAT,2.0,266,76,154,36,266,0,0,BUKIT NIKMAT ,UNDI BIASA
17,081/11/15,SEKOLAH MENENGAH AGAMA PULAU TAWAR,1.0,300,163,104,26,293,7,0,PULAU TAWAR ,UNDI BIASA
17,081/11/15,SEKOLAH MENENGAH AGAMA PULAU TAWAR,2.0,378,144,183,47,374,4,0,PULAU TAWAR ,UNDI BIASA
17,081/11/15,SEKOLAH MENENGAH AGAMA PULAU TAWAR,3.0,362,106,191,64,361,1,0,PULAU TAWAR ,UNDI BIASA
18,081/11/16,SK LKTP KOTA GELANGGI 1,1.0,308,168,116,15,299,9,0,FELDA KOTA GELANGGI 1 ,UNDI BIASA
18,081/11/16,SK LKTP KOTA GELANGGI 1,2.0,407,235,146,25,406,1,0,FELDA KOTA GELANGGI 1 ,UNDI BIASA
18,081/11/16,SK LKTP KOTA GELANGGI 1,3.0,358,134,190,29,353,5,0,FELDA KOTA GELANGGI 1 ,UNDI BIASA
18,081/11/16,SK LKTP KOTA GELANGGI 1,4.0,352,88,207,51,346,6,0,FELDA KOTA GELANGGI 1 ,UNDI BIASA
19,081/11/17,SK LKTP KOTA GELANGGI 3,1.0,302,174,106,13,293,9,0,FELDA KOTA GELANGGI 3 ,UNDI BIASA
19,081/11/17,SK LKTP KOTA GELANGGI 3,2.0,488,214,228,42,484,4,0,FELDA KOTA GELANGGI 3 ,UNDI BIASA
19,081/11/17,SK LKTP KOTA GELANGGI 3,3.0,472,127,268,74,469,3,0,FELDA KOTA GELANGGI 3 ,UNDI BIASA
