Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR AZMAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PAK TUAN AL IDRUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ULYA HUSAMUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. AHMAD FAKHRUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO DR MASHITAH BINTI IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
14,KUBANG TEDOH 010/15/10,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH CHOON, GUNUNG KERIANG",3,501,62,0,8,381,43,494,7,0
14,KUBANG TEDOH 010/15/10,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH CHOON, GUNUNG KERIANG",4,557,34,1,3,479,35,552,2,3
15,TAMAN AMAN 010/15/11,"SEKOLAH KEBANGSAAN TAMAN AMAN, ANAK BUKIT",1,354,151,3,12,98,89,353,1,0
15,TAMAN AMAN 010/15/11,"SEKOLAH KEBANGSAAN TAMAN AMAN, ANAK BUKIT",2,382,115,0,7,191,65,378,4,0
15,TAMAN AMAN 010/15/11,"SEKOLAH KEBANGSAAN TAMAN AMAN, ANAK BUKIT",3,491,204,0,12,228,44,488,3,0
15,TAMAN AMAN 010/15/11,"SEKOLAH KEBANGSAAN TAMAN AMAN, ANAK BUKIT",4,443,124,0,11,270,38,443,0,0
15,TAMAN AMAN 010/15/11,"SEKOLAH KEBANGSAAN TAMAN AMAN, ANAK BUKIT",5,503,135,0,9,312,47,503,0,0
15,TAMAN AMAN 010/15/11,"SEKOLAH KEBANGSAAN TAMAN AMAN, ANAK BUKIT",6,579,145,0,19,376,35,575,4,0
16,PEKAN ANAK BUKIT 010/15/12,DEWAN KEMENTERIAN DALAM NEGERI ANAK BUKIT,1,275,124,1,8,67,67,267,8,0
16,PEKAN ANAK BUKIT 010/15/12,DEWAN KEMENTERIAN DALAM NEGERI ANAK BUKIT,2,347,126,1,11,160,47,345,2,0
16,PEKAN ANAK BUKIT 010/15/12,DEWAN KEMENTERIAN DALAM NEGERI ANAK BUKIT,3,307,76,0,8,174,49,307,0,0
17,"KAMPUNG ANAK BUKIT
010/15/13","SEKOLAH JENIS KEBANGSAAN (CINA) SOON JIAN,
ANAK BUKIT",1,354,83,3,26,168,71,351,3,0
17,"KAMPUNG ANAK BUKIT
010/15/13","SEKOLAH JENIS KEBANGSAAN (CINA) SOON JIAN,
ANAK BUKIT",2,332,71,0,12,213,35,331,1,0
17,"KAMPUNG ANAK BUKIT
010/15/13","SEKOLAH JENIS KEBANGSAAN (CINA) SOON JIAN,
ANAK BUKIT",3,398,109,0,17,243,28,397,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 4/14","KAMPUNG ANAK BUKIT
010/15/13","SEKOLAH JENIS KEBANGSAAN (CINA) SOON JIAN,
ANAK BUKIT",3,398,109,0,17,243,28,397,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,17,243,28,397,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
18,PANTAI JOHOR 010/15/14,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL MALIK, ALOR MERAH",1,308,80,5,11,114,88,298,10,0
18,PANTAI JOHOR 010/15/14,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL MALIK, ALOR MERAH",2,525,143,0,9,320,51,523,2,0
19,CHEGAR 010/15/15,"SEKOLAH KEBANGSAAN GUNONG,
ALOR SETAR",1,356,40,1,7,233,71,352,4,0
19,CHEGAR 010/15/15,"SEKOLAH KEBANGSAAN GUNONG,
ALOR SETAR",2,527,56,1,12,410,45,524,3,0
20,ALOR MELINTANG 010/15/16,"SEKOLAH KEBANGSAAN SRI GUNONG, ALOR SETAR",1,346,64,5,7,161,107,344,2,0
20,ALOR MELINTANG 010/15/16,"SEKOLAH KEBANGSAAN SRI GUNONG, ALOR SETAR",2,395,81,0,7,242,63,393,2,0
20,ALOR MELINTANG 010/15/16,"SEKOLAH KEBANGSAAN SRI GUNONG, ALOR SETAR",3,454,51,0,13,343,47,454,0,0
20,ALOR MELINTANG 010/15/16,"SEKOLAH KEBANGSAAN SRI GUNONG, ALOR SETAR",4,426,67,0,12,303,44,426,0,0
20,ALOR MELINTANG 010/15/16,"SEKOLAH KEBANGSAAN SRI GUNONG, ALOR SETAR",5,486,74,0,10,359,38,481,5,0
21,SUNGAI BARU 010/15/17,"SEKOLAH KEBANGSAAN SUNGAI BARU, KAMPUNG SUNGAI BARU TENGAH",1,365,33,2,10,171,146,362,3,0
21,SUNGAI BARU 010/15/17,"SEKOLAH KEBANGSAAN SUNGAI BARU, KAMPUNG SUNGAI BARU TENGAH",2,453,45,0,16,284,106,451,2,0
21,SUNGAI BARU 010/15/17,"SEKOLAH KEBANGSAAN SUNGAI BARU, KAMPUNG SUNGAI BARU TENGAH",3,387,46,0,4,278,58,386,1,0
21,SUNGAI BARU 010/15/17,"SEKOLAH KEBANGSAAN SUNGAI BARU, KAMPUNG SUNGAI BARU TENGAH",4,418,40,0,12,311,55,418,0,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",1,311,91,4,11,121,78,305,6,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",2,385,127,0,20,175,62,384,1,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",3,509,182,2,16,265,43,508,1,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",4,465,130,1,12,289,33,465,0,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",5,460,133,0,5,297,24,459,1,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",6,472,132,1,5,309,24,471,1,0
22,MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",7,547,168,0,5,349,23,545,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 5/14",MERGONG 010/15/18,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KEDAH,       LEBUHRAYA SULTANAH BAHIYAH",7,547,168,0,5,349,23,545,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,5,349,23,545,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
23,KUAR JAWA 010/16/01,"SEKOLAH KEBANGSAAN HJ ABDULLAH SADUN, ALOR JANGGUS",1,362,86,0,4,161,110,361,1,0
23,KUAR JAWA 010/16/01,"SEKOLAH KEBANGSAAN HJ ABDULLAH SADUN, ALOR JANGGUS",2,391,66,0,8,266,50,390,1,0
23,KUAR JAWA 010/16/01,"SEKOLAH KEBANGSAAN HJ ABDULLAH SADUN, ALOR JANGGUS",3,386,52,0,4,276,53,385,1,0
24,KUBANG JAWI 010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",1,296,34,3,6,122,85,250,46,0
24,KUBANG JAWI 010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",2,395,61,5,6,155,156,383,12,0
24,KUBANG JAWI 010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",3,461,92,2,14,238,113,459,2,0
24,KUBANG JAWI 010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",4,427,73,0,6,298,48,425,2,0
24,KUBANG JAWI 010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",5,420,47,0,4,298,70,419,1,0
24,KUBANG JAWI 010/16/02,"SEKOLAH KEBANGSAAN ALOR JANGGUS, ALOR JANGGUS",6,473,43,0,6,356,66,471,2,0
25,KUBANG JAMBU 010/16/03,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG SEONG, KUBANG ROTAN",1,347,49,3,4,195,93,344,3,0
25,KUBANG JAMBU 010/16/03,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG SEONG, KUBANG ROTAN",2,463,58,0,4,324,74,460,3,0
25,KUBANG JAMBU 010/16/03,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG SEONG, KUBANG ROTAN",3,505,39,1,3,395,67,505,0,0
26,KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",1,327,83,4,3,153,77,320,7,0
26,KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",2,383,132,3,3,170,70,378,5,0
26,KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",3,489,125,0,11,273,77,486,3,0
26,KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",4,443,77,0,12,305,42,436,7,0
26,KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",5,429,79,1,2,309,37,428,1,0
26,KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",6,521,87,0,3,373,55,518,3,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 6/14",KUBANG ROTAN 010/16/04,"SEKOLAH MENENGAH KEBANGSAAN KUBANG ROTAN, KUBANG ROTAN",6,521,87,0,3,373,55,518,3,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,3,373,55,518,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
27,SEBERANG KOTA 010/16/05,"SEKOLAH KEBANGSAAN KUALA KEDAH,      KUALA KEDAH",1,330,30,2,5,166,121,324,6,0
27,SEBERANG KOTA 010/16/05,"SEKOLAH KEBANGSAAN KUALA KEDAH,      KUALA KEDAH",2,472,39,3,7,277,141,467,5,0
27,SEBERANG KOTA 010/16/05,"SEKOLAH KEBANGSAAN KUALA KEDAH,      KUALA KEDAH",3,426,28,2,6,319,70,425,1,0
27,SEBERANG KOTA 010/16/05,"SEKOLAH KEBANGSAAN KUALA KEDAH,      KUALA KEDAH",4,425,30,1,4,306,80,421,4,0
27,SEBERANG KOTA 010/16/05,"SEKOLAH KEBANGSAAN KUALA KEDAH,      KUALA KEDAH",5,493,37,0,2,365,86,490,3,0
28,KAMPUNG BAHRU 010/16/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI SHIH,         KUALA KEDAH",1,325,17,1,5,182,115,320,5,0
28,KAMPUNG BAHRU 010/16/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI SHIH,         KUALA KEDAH",2,328,14,1,4,232,77,328,0,0
29,PEKAN KUALA KEDAH 010/16/07,"SEKOLAH MENENGAH KEBANGSAAN SERI PANTAI,              KUALA KEDAH",1,294,170,2,7,50,57,286,8,0
29,PEKAN KUALA KEDAH 010/16/07,"SEKOLAH MENENGAH KEBANGSAAN SERI PANTAI,              KUALA KEDAH",2,337,152,1,11,123,47,334,3,0
29,PEKAN KUALA KEDAH 010/16/07,"SEKOLAH MENENGAH KEBANGSAAN SERI PANTAI,              KUALA KEDAH",3,348,100,0,10,167,65,342,6,0
29,PEKAN KUALA KEDAH 010/16/07,"SEKOLAH MENENGAH KEBANGSAAN SERI PANTAI,              KUALA KEDAH",4,386,50,0,9,251,76,386,0,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",1,277,115,4,14,63,75,271,6,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",2,357,186,3,6,84,75,354,3,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",3,353,151,0,8,135,56,350,3,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",4,447,187,1,7,176,64,435,12,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",5,433,141,2,8,205,73,429,4,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",6,398,126,2,11,200,56,395,3,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",7,418,98,1,8,256,53,416,2,0
30,TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",8,456,77,0,5,306,66,454,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 7/14",TAMAN SRI PUTRA 010/16/08,"SEKOLAH KEBANGSAAN SERI PANTAI,         KUALA KEDAH",8,456,77,0,5,306,66,454,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,5,306,66,454,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
31,KAMPUNG TENGAH 010/16/09,"SEKOLAH KEBANGSAAN HAJI ISMAIL,          KUALA KEDAH",1,315,34,1,6,165,102,308,7,0
31,KAMPUNG TENGAH 010/16/09,"SEKOLAH KEBANGSAAN HAJI ISMAIL,          KUALA KEDAH",2,375,48,0,15,208,88,359,16,0
31,KAMPUNG TENGAH 010/16/09,"SEKOLAH KEBANGSAAN HAJI ISMAIL,          KUALA KEDAH",3,471,37,0,13,329,89,468,3,0
31,KAMPUNG TENGAH 010/16/09,"SEKOLAH KEBANGSAAN HAJI ISMAIL,          KUALA KEDAH",4,444,29,0,11,341,61,442,2,0
31,KAMPUNG TENGAH 010/16/09,"SEKOLAH KEBANGSAAN HAJI ISMAIL,          KUALA KEDAH",5,451,24,2,10,374,41,451,0,0
31,KAMPUNG TENGAH 010/16/09,"SEKOLAH KEBANGSAAN HAJI ISMAIL,          KUALA KEDAH",6,502,29,2,2,409,57,499,3,0
