"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
25,TELAGA BATU 005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",1,336,207,8,29,87,331,5,0
,,,2,401,287,16,33,64,400,1,0
,,,3,371,284,10,22,54,370,1,0
,,,4,430,342,20,19,47,428,2,0
26,PADANG PERAHU 005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",1,361,234,25,31,68,358,3,0
,,,2,529,364,35,50,76,525,4,0
,,,3,527,396,29,43,52,520,7,0
27,KAMPUNG PIDA 005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",1,346,171,28,17,121,337,9,0
,,,2,482,315,31,17,112,475,7,0
,,,3,435,319,18,13,79,429,6,0
,,,4,477,358,18,14,84,474,3,0
28,KAMPUNG GURINDAM 005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",1,361,197,20,14,120,351,10,0
,,,2,534,381,27,16,103,527,7,0
,,,3,501,395,16,21,69,501,0,0
29,ALOR BIAK 005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",1,337,203,13,36,78,330,7,0
,,,2,388,229,17,70,68,384,4,0
,,,3,543,403,21,56,63,543,0,0
,,,4,557,421,11,60,65,557,0,0
30,KUBANG SEPAT 005/04/10,"SEKOLAH MENENGAH AGAMA HIDAYAH ISLAMIAH, ALOR BIAK",1,368,184,15,67,80,346,22,0
,,,2,588,382,29,62,108,581,7,0
,,,3,576,439,15,49,73,576,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 6/7",,,,,,,,,,,
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
31,LANA BULU 005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",1,320,157,9,34,112,312,8,0
,,,2,386,209,19,37,116,381,5,0
,,,3,537,329,30,52,123,534,3,0
,,,4,484,348,16,29,90,483,1,0
,,,5,545,389,16,36,104,545,0,0
32,PERMATANG PAKU 005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",1,353,219,10,15,100,344,9,0
,,,2,388,253,11,27,93,384,4,0
,,,3,503,371,22,27,81,501,2,0
,,,4,526,404,18,17,85,524,2,0
33,MATANG BONGLAI 005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",1,355,224,19,24,83,350,5,0
,,,2,374,240,17,42,73,372,2,0
,,,3,458,351,18,27,58,454,4,0
,,,4,449,344,16,27,58,445,4,0
34,JERLUN 005/04/14,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",1,332,103,33,79,106,321,11,0
,,,2,376,158,27,82,102,369,7,0
,,,3,576,303,51,89,120,563,13,0
,,,4,588,369,30,53,132,584,4,0
35,LUBOK PINANG 005/04/15,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",1,308,113,29,57,103,302,6,0
,,,2,362,187,18,54,98,357,5,0
,,,3,406,239,28,45,89,401,5,0
,,,4,432,278,33,33,85,429,3,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 7/7",,,,,,,,,,,
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
36,PEKAN AYER HITAM 005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",1,317,82,16,122,85,305,12,0
,,,2,373,124,31,130,82,367,6,0
,,,3,492,249,32,125,84,490,2,0
,,,4,491,300,29,89,72,490,1,0
37,KAMPUNG GANDAI 005/04/17,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",1,345,207,14,27,92,340,5,0
,,,2,489,333,27,36,90,486,3,0
,,,3,497,367,20,22,86,495,2,0
38,KUBANG NIPAH 005/04/18,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",1,361,141,31,18,167,357,4,0
,,,2,485,250,34,15,183,482,3,0
,,,3,495,289,22,15,169,495,0,0
JUMLAH,,,128,"52,909","31,685","3,144","6,149","11,229","52,207",617,85
