Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ZULHAZMI BIN SHARIFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SERI DR. JAMIL KHIR BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK NIZAM MAHSHAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
7,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",5,334,9,17,305,3,334,0,0,BUKIT CHORAS ,UNDI BIASA,BUKIT CHORAS 012/20/04
7,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",6,306,11,2,290,0,303,3,0,BUKIT CHORAS ,UNDI BIASA,BUKIT CHORAS 012/20/04
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",1,360,33,28,288,4,353,7,0,BUKIT BESAR ,UNDI BIASA,BUKIT BESAR 012/20/05
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",2,401,32,31,336,0,399,2,0,BUKIT BESAR ,UNDI BIASA,BUKIT BESAR 012/20/05
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",3,515,44,40,429,0,513,2,0,BUKIT BESAR ,UNDI BIASA,BUKIT BESAR 012/20/05
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",4,490,32,20,432,5,489,1,0,BUKIT BESAR ,UNDI BIASA,BUKIT BESAR 012/20/05
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",5,530,23,31,471,2,527,3,0,BUKIT BESAR ,UNDI BIASA,BUKIT BESAR 012/20/05
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",1,357,33,93,224,4,354,3,0,SIMPANG TIGA LUAR ,UNDI BIASA,SIMPANG TIGA LUAR 012/20/06
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",2,441,24,92,314,8,438,3,0,SIMPANG TIGA LUAR ,UNDI BIASA,SIMPANG TIGA LUAR 012/20/06
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",3,416,18,57,336,2,413,3,0,SIMPANG TIGA LUAR ,UNDI BIASA,SIMPANG TIGA LUAR 012/20/06
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",4,439,22,55,361,0,438,1,0,SIMPANG TIGA LUAR ,UNDI BIASA,SIMPANG TIGA LUAR 012/20/06
10,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",1,341,130,99,99,6,334,7,0,SIMPANG TIGA ,UNDI BIASA,SIMPANG TIGA 012/20/07
10,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",2,482,105,106,266,4,481,1,0,SIMPANG TIGA ,UNDI BIASA,SIMPANG TIGA 012/20/07
10,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",3,478,57,98,320,0,475,3,0,SIMPANG TIGA ,UNDI BIASA,SIMPANG TIGA 012/20/07
11,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",1,380,22,137,215,3,377,3,0,SELENGKOH ,UNDI BIASA,SELENGKOH 012/20/08
11,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",2,401,17,109,269,5,400,1,0,SELENGKOH ,UNDI BIASA,SELENGKOH 012/20/08
11,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",3,428,14,92,319,2,427,1,0,SELENGKOH ,UNDI BIASA,SELENGKOH 012/20/08
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",1,350,39,117,186,4,346,4,0,SUNGAI DAUN ,UNDI BIASA,SUNGAI DAUN 012/20/09
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",2,390,49,98,234,8,389,1,0,SUNGAI DAUN ,UNDI BIASA,SUNGAI DAUN 012/20/09
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",3,497,25,99,368,4,496,1,0,SUNGAI DAUN ,UNDI BIASA,SUNGAI DAUN 012/20/09
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",4,515,31,87,390,5,513,2,0,SUNGAI DAUN ,UNDI BIASA,SUNGAI DAUN 012/20/09
13,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",1,303,55,95,146,4,300,3,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 012/20/10
13,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",2,350,63,93,181,8,345,5,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 012/20/10
13,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",3,382,50,77,250,4,381,1,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 012/20/10
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",1,343,44,108,185,3,340,3,0,KABU SEPULOH ,UNDI BIASA,KABU SEPULOH 012/20/11
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",2,611,79,162,359,6,606,5,0,KABU SEPULOH ,UNDI BIASA,KABU SEPULOH 012/20/11
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",3,578,51,84,438,2,575,3,0,KABU SEPULOH ,UNDI BIASA,KABU SEPULOH 012/20/11
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",4,607,50,100,453,2,605,2,0,KABU SEPULOH ,UNDI BIASA,KABU SEPULOH 012/20/11
15,012/20/12,"SEKOLAH KEBANGSAAN SUNGAI KERING, KAMPUNG SUNGAI KERING",1,199,10,92,89,2,193,6,0,SUNGAI KERING ,UNDI BIASA,SUNGAI KERING 012/20/12
15,012/20/12,"SEKOLAH KEBANGSAAN SUNGAI KERING, KAMPUNG SUNGAI KERING",2,199,4,55,138,1,198,1,0,SUNGAI KERING ,UNDI BIASA,SUNGAI KERING 012/20/12
16,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",1,364,23,137,195,5,360,4,0,SEDAKA ,UNDI BIASA,SEDAKA 012/20/13
16,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",2,616,26,125,454,8,613,3,0,SEDAKA ,UNDI BIASA,SEDAKA 012/20/13
16,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",3,621,28,118,465,10,621,0,0,SEDAKA ,UNDI BIASA,SEDAKA 012/20/13
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",4,321,19,117,177,6,319,2,0,ULU SEDAKA ,UNDI BIASA,ULU SEDAKA 012/20/14
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",5,363,28,75,258,2,363,0,0,ULU SEDAKA ,UNDI BIASA,ULU SEDAKA 012/20/14
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",6,380,17,67,287,8,379,1,0,ULU SEDAKA ,UNDI BIASA,ULU SEDAKA 012/20/14
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",7,371,25,51,283,9,368,3,0,ULU SEDAKA ,UNDI BIASA,ULU SEDAKA 012/20/14
18,012/20/15,"SEKOLAH MENENGAH KEBANGSAAN  BATU 17, PADANG LUMAT",1,347,28,82,227,6,343,4,0,PADANG LUMAT ,UNDI BIASA,PADANG LUMAT 012/20/15
18,012/20/15,"SEKOLAH MENENGAH KEBANGSAAN  BATU 17, PADANG LUMAT",2,355,24,61,249,8,342,13,0,PADANG LUMAT ,UNDI BIASA,PADANG LUMAT 012/20/15
19,012/20/16,"SEKOLAH KEBANGSAAN PADANG LUMAT, PADANG LUMAT",1,376,65,129,177,0,371,5,0,BATU ENAM BELAS ,UNDI BIASA,BATU ENAM BELAS 012/20/16
19,012/20/16,"SEKOLAH KEBANGSAAN PADANG LUMAT, PADANG LUMAT",2,548,71,111,358,4,544,4,0,BATU ENAM BELAS ,UNDI BIASA,BATU ENAM BELAS 012/20/16
19,012/20/16,"SEKOLAH KEBANGSAAN PADANG LUMAT, PADANG LUMAT",3,522,51,71,397,2,521,1,0,BATU ENAM BELAS ,UNDI BIASA,BATU ENAM BELAS 012/20/16
20,012/20/17,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA, BATU 17",1,345,64,101,172,4,341,4,0,KAMPUNG TITI BATU ,UNDI BIASA,KAMPUNG TITI BATU 012/20/17
20,012/20/17,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA, BATU 17",2,388,62,75,247,1,385,3,0,KAMPUNG TITI BATU ,UNDI BIASA,KAMPUNG TITI BATU 012/20/17
20,012/20/17,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA, BATU 17",3,419,28,55,331,5,419,0,0,KAMPUNG TITI BATU ,UNDI BIASA,KAMPUNG TITI BATU 012/20/17
20,012/20/17,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA, BATU 17",4,442,32,49,357,3,441,1,0,KAMPUNG TITI BATU ,UNDI BIASA,KAMPUNG TITI BATU 012/20/17
21,012/20/18,"SEKOLAH KEBANGSAAN DULANG, YAN",1,352,16,155,168,5,344,8,0,DULANG KECHIL ,UNDI BIASA,DULANG KECHIL 012/20/18
21,012/20/18,"SEKOLAH KEBANGSAAN DULANG, YAN",2,394,16,139,224,11,390,4,0,DULANG KECHIL ,UNDI BIASA,DULANG KECHIL 012/20/18
21,012/20/18,"SEKOLAH KEBANGSAAN DULANG, YAN",3,506,21,129,345,6,501,5,0,DULANG KECHIL ,UNDI BIASA,DULANG KECHIL 012/20/18
21,012/20/18,"SEKOLAH KEBANGSAAN DULANG, YAN",4,549,21,142,380,6,549,0,0,DULANG KECHIL ,UNDI BIASA,DULANG KECHIL 012/20/18
22,012/20/19,"SEKOLAH MENENGAH KEBANGSAAN DULANG, YAN",1,322,23,151,136,4,314,8,0,DULANG BESAR ,UNDI BIASA,DULANG BESAR 012/20/19
22,012/20/19,"SEKOLAH MENENGAH KEBANGSAAN DULANG, YAN",2,322,10,81,224,5,320,2,0,DULANG BESAR ,UNDI BIASA,DULANG BESAR 012/20/19
22,012/20/19,"SEKOLAH MENENGAH KEBANGSAAN DULANG, YAN",3,354,12,74,265,2,353,1,0,DULANG BESAR ,UNDI BIASA,DULANG BESAR 012/20/19
23,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",1,322,102,72,133,5,312,10,0,PONDOK HAJI MAJID ,UNDI BIASA,PONDOK HAJI MAJID 012/21/01
23,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",2,362,102,63,189,3,357,5,0,PONDOK HAJI MAJID ,UNDI BIASA,PONDOK HAJI MAJID 012/21/01
23,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",3,414,90,56,258,5,409,5,0,PONDOK HAJI MAJID ,UNDI BIASA,PONDOK HAJI MAJID 012/21/01
23,012/21/01,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, GUAR CHEMPEDAK",4,410,43,49,310,5,407,3,0,PONDOK HAJI MAJID ,UNDI BIASA,PONDOK HAJI MAJID 012/21/01
24,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",1,311,148,56,100,4,308,3,0,TAMAN SRI WANGSA ,UNDI BIASA,TAMAN SRI WANGSA 012/21/02
24,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",2,361,124,53,172,9,358,3,0,TAMAN SRI WANGSA ,UNDI BIASA,TAMAN SRI WANGSA 012/21/02
24,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",3,455,150,56,238,11,455,0,0,TAMAN SRI WANGSA ,UNDI BIASA,TAMAN SRI WANGSA 012/21/02
24,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",4,432,118,53,258,3,432,0,0,TAMAN SRI WANGSA ,UNDI BIASA,TAMAN SRI WANGSA 012/21/02
24,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",5,463,145,44,266,6,461,2,0,TAMAN SRI WANGSA ,UNDI BIASA,TAMAN SRI WANGSA 012/21/02
24,012/21/02,"SEKOLAH MENENGAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",6,552,111,44,390,5,550,2,0,TAMAN SRI WANGSA ,UNDI BIASA,TAMAN SRI WANGSA 012/21/02
25,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",1,316,57,93,152,6,308,8,0,PONDOK HAJI HUSSEIN ,UNDI BIASA,PONDOK HAJI HUSSEIN 012/21/03
25,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",2,370,57,88,212,7,364,6,0,PONDOK HAJI HUSSEIN ,UNDI BIASA,PONDOK HAJI HUSSEIN 012/21/03
25,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",3,397,63,55,262,10,390,7,0,PONDOK HAJI HUSSEIN ,UNDI BIASA,PONDOK HAJI HUSSEIN 012/21/03
25,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",4,389,45,46,291,7,389,0,0,PONDOK HAJI HUSSEIN ,UNDI BIASA,PONDOK HAJI HUSSEIN 012/21/03
25,012/21/03,"SEKOLAH KEBANGSAAN GUAR CHEMPEDAK, GUAR CHEMPEDAK",5,469,35,60,366,8,469,0,0,PONDOK HAJI HUSSEIN ,UNDI BIASA,PONDOK HAJI HUSSEIN 012/21/03
26,012/21/04,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI ENG, TEROI",1,364,13,106,230,7,356,8,0,TITI TERAS ,UNDI BIASA,TITI TERAS 012/21/04
26,012/21/04,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI ENG, TEROI",2,507,18,90,398,0,506,1,0,TITI TERAS ,UNDI BIASA,TITI TERAS 012/21/04
27,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",1,327,76,130,107,4,317,10,0,TEROI ,UNDI BIASA,TEROI 012/21/05
27,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",2,369,64,86,206,12,368,1,0,TEROI ,UNDI BIASA,TEROI 012/21/05
27,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",3,530,51,79,392,5,527,3,0,TEROI ,UNDI BIASA,TEROI 012/21/05
27,012/21/05,"SEKOLAH KEBANGSAAN TEROI, GUAR CHEMPEDAK",4,593,49,107,433,4,593,0,0,TEROI ,UNDI BIASA,TEROI 012/21/05
28,012/21/06,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI YAN",1,354,53,114,183,2,352,2,0,TITI SERONG ,UNDI BIASA,TITI SERONG 012/21/06
28,012/21/06,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI YAN",2,381,29,81,268,1,379,2,0,TITI SERONG ,UNDI BIASA,TITI SERONG 012/21/06
28,012/21/06,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI YAN",3,414,22,56,329,4,411,3,0,TITI SERONG ,UNDI BIASA,TITI SERONG 012/21/06
29,012/21/07,"SEKOLAH MENENGAH AGAMA FAUZI, YAN KECHIL",1,357,28,133,177,8,346,10,1,KUALA YAN KECHIL ,UNDI BIASA,KUALA YAN KECHIL 012/21/07
29,012/21/07,"SEKOLAH MENENGAH AGAMA FAUZI, YAN KECHIL",2,367,25,85,252,2,364,2,1,KUALA YAN KECHIL ,UNDI BIASA,KUALA YAN KECHIL 012/21/07
29,012/21/07,"SEKOLAH MENENGAH AGAMA FAUZI, YAN KECHIL",3,420,16,60,337,4,417,3,0,KUALA YAN KECHIL ,UNDI BIASA,KUALA YAN KECHIL 012/21/07
30,012/21/08,"SEKOLAH KEBANGSAAN YAN KECHIL, YAN",1,332,117,117,85,11,330,2,0,PEKAN SUNGAI YAN ,UNDI BIASA,PEKAN SUNGAI YAN 012/21/08
30,012/21/08,"SEKOLAH KEBANGSAAN YAN KECHIL, YAN",2,359,100,82,167,8,357,2,0,PEKAN SUNGAI YAN ,UNDI BIASA,PEKAN SUNGAI YAN 012/21/08
30,012/21/08,"SEKOLAH KEBANGSAAN YAN KECHIL, YAN",3,478,119,96,249,8,472,6,0,PEKAN SUNGAI YAN ,UNDI BIASA,PEKAN SUNGAI YAN 012/21/08
30,012/21/08,"SEKOLAH KEBANGSAAN YAN KECHIL, YAN",4,540,101,91,347,1,540,0,0,PEKAN SUNGAI YAN ,UNDI BIASA,PEKAN SUNGAI YAN 012/21/08
31,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",1,373,17,163,183,5,368,5,0,SUNGAI UDANG ,UNDI BIASA,SUNGAI UDANG 012/21/09
31,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",2,588,13,163,382,11,569,19,0,SUNGAI UDANG ,UNDI BIASA,SUNGAI UDANG 012/21/09
31,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",3,554,21,111,418,1,551,3,0,SUNGAI UDANG ,UNDI BIASA,SUNGAI UDANG 012/21/09
31,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",4,595,19,120,456,0,595,0,0,SUNGAI UDANG ,UNDI BIASA,SUNGAI UDANG 012/21/09
32,012/21/10,"SEKOLAH MENENGAH KEBANGSAAN SRI BADONG, MERBOK",1,357,22,132,191,4,349,8,0,SINGKIR DARAT ,UNDI BIASA,SINGKIR DARAT 012/21/10
32,012/21/10,"SEKOLAH MENENGAH KEBANGSAAN SRI BADONG, MERBOK",2,571,41,109,409,7,566,5,0,SINGKIR DARAT ,UNDI BIASA,SINGKIR DARAT 012/21/10
32,012/21/10,"SEKOLAH MENENGAH KEBANGSAAN SRI BADONG, MERBOK",3,598,29,106,462,0,597,1,0,SINGKIR DARAT ,UNDI BIASA,SINGKIR DARAT 012/21/10
33,012/21/11,MAKTAB MAHMUD YAN,1,333,27,149,139,11,326,7,0,KAMPUNG ACHEH ,UNDI BIASA,KAMPUNG ACHEH 012/21/11
33,012/21/11,MAKTAB MAHMUD YAN,2,448,37,109,291,9,446,2,0,KAMPUNG ACHEH ,UNDI BIASA,KAMPUNG ACHEH 012/21/11
33,012/21/11,MAKTAB MAHMUD YAN,3,472,34,83,353,2,472,0,0,KAMPUNG ACHEH ,UNDI BIASA,KAMPUNG ACHEH 012/21/11
34,012/21/12,"SEKOLAH KEBANGSAAN HAJI NYAK GAM, YAN",1,261,14,79,159,3,255,6,0,LUBOK BUOY ,UNDI BIASA,LUBOK BUOY 012/21/12
34,012/21/12,"SEKOLAH KEBANGSAAN HAJI NYAK GAM, YAN",2,265,12,46,204,2,264,1,0,LUBOK BUOY ,UNDI BIASA,LUBOK BUOY 012/21/12
35,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",1,306,36,120,133,10,299,7,0,PEKAN YAN ,UNDI BIASA,PEKAN YAN 012/21/13
35,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",2,368,45,127,177,12,361,7,0,PEKAN YAN ,UNDI BIASA,PEKAN YAN 012/21/13
35,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",3,434,42,96,268,23,429,5,0,PEKAN YAN ,UNDI BIASA,PEKAN YAN 012/21/13
35,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",4,402,30,72,284,15,401,1,0,PEKAN YAN ,UNDI BIASA,PEKAN YAN 012/21/13
35,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",5,468,37,79,339,4,459,9,0,PEKAN YAN ,UNDI BIASA,PEKAN YAN 012/21/13
36,012/21/14,"SEKOLAH JENIS KEBANGSAAN (CINA) YORK KHOON, YAN",1,371,26,129,202,11,368,3,0,SUNGAI RAGA ,UNDI BIASA,SUNGAI RAGA 012/21/14
36,012/21/14,"SEKOLAH JENIS KEBANGSAAN (CINA) YORK KHOON, YAN",2,430,23,88,310,8,429,1,0,SUNGAI RAGA ,UNDI BIASA,SUNGAI RAGA 012/21/14
36,012/21/14,"SEKOLAH JENIS KEBANGSAAN (CINA) YORK KHOON, YAN",3,470,26,90,347,5,468,2,0,SUNGAI RAGA ,UNDI BIASA,SUNGAI RAGA 012/21/14
37,012/21/15,"SEKOLAH KEBANGSAAN TOK MAT SALLEH, YAN",1,362,11,151,189,5,356,6,0,RUAT ,UNDI BIASA,RUAT 012/21/15
37,012/21/15,"SEKOLAH KEBANGSAAN TOK MAT SALLEH, YAN",2,450,19,94,323,4,440,10,0,RUAT ,UNDI BIASA,RUAT 012/21/15
38,012/21/16,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",1,329,31,116,177,3,327,2,0,SINGKIR LAUT ,UNDI BIASA,SINGKIR LAUT 012/21/16
38,012/21/16,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",2,375,19,60,293,3,375,0,0,SINGKIR LAUT ,UNDI BIASA,SINGKIR LAUT 012/21/16
39,012/22/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SULONG, JENIANG",1,307,186,62,52,0,300,7,0,PEKAN JENIANG ,UNDI BIASA,PEKAN JENIANG 012/22/01
39,012/22/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SULONG, JENIANG",2,430,135,50,236,7,428,2,0,PEKAN JENIANG ,UNDI BIASA,PEKAN JENIANG 012/22/01
40,012/22/02,"SEKOLAH KEBANGSAAN JENIANG (PUSAT), JENIANG",1,302,53,125,108,10,296,6,0,KAMPUNG JENIANG ,UNDI BIASA,KAMPUNG JENIANG 012/22/02
