Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ. ABDUL RAHMAN MOHD REDZA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RIZAL ISHAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RUSLI BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
4,132/32/02,SEKOLAH KEBANGSAAN LINGGI,4.0,427,225,26,173,424,3,0,LINGGI ,UNDI BIASA
5,132/32/03,PUSAT PEMULIHAN DALAM KOMUNITI CAHAYA IKHSAN LINGGI,1.0,293,140,10,132,282,11,0,KAMPONG PENGKALAN DURIAN ,UNDI BIASA
5,132/32/03,PUSAT PEMULIHAN DALAM KOMUNITI CAHAYA IKHSAN LINGGI,2.0,346,135,14,192,341,5,0,KAMPONG PENGKALAN DURIAN ,UNDI BIASA
5,132/32/03,PUSAT PEMULIHAN DALAM KOMUNITI CAHAYA IKHSAN LINGGI,3.0,344,144,15,183,342,2,0,KAMPONG PENGKALAN DURIAN ,UNDI BIASA
6,132/32/04,SEKOLAH KEBANGSAAN PERMATANG PASIR,1.0,271,87,10,166,263,8,0,PENGKALAN KEMPAS ,UNDI BIASA
6,132/32/04,SEKOLAH KEBANGSAAN PERMATANG PASIR,2.0,382,160,17,200,377,5,0,PENGKALAN KEMPAS ,UNDI BIASA
6,132/32/04,SEKOLAH KEBANGSAAN PERMATANG PASIR,3.0,370,129,19,218,366,4,0,PENGKALAN KEMPAS ,UNDI BIASA
7,132/32/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SENGKANG,1.0,273,80,4,178,262,11,0,LADANG SENGKANG ,UNDI BIASA
7,132/32/05,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SENGKANG,2.0,289,64,10,212,286,3,0,LADANG SENGKANG ,UNDI BIASA
8,132/32/06,SEKOLAH KEBANGSAAN TANJONG AGAS,1.0,298,186,26,48,260,38,0,KAMPONG SUNGAI RAYA ,UNDI BIASA
8,132/32/06,SEKOLAH KEBANGSAAN TANJONG AGAS,2.0,382,225,46,95,366,16,0,KAMPONG SUNGAI RAYA ,UNDI BIASA
8,132/32/06,SEKOLAH KEBANGSAAN TANJONG AGAS,3.0,356,197,53,99,349,7,0,KAMPONG SUNGAI RAYA ,UNDI BIASA
8,132/32/06,SEKOLAH KEBANGSAAN TANJONG AGAS,4.0,351,181,48,119,348,3,0,KAMPONG SUNGAI RAYA ,UNDI BIASA
9,132/32/07,SEKOLAH KEBANGSAAN PASIR PANJANG,1.0,247,101,6,125,232,15,0,PASIR PANJANG ,UNDI BIASA
9,132/32/07,SEKOLAH KEBANGSAAN PASIR PANJANG,2.0,585,293,17,256,566,19,0,PASIR PANJANG ,UNDI BIASA
9,132/32/07,SEKOLAH KEBANGSAAN PASIR PANJANG,3.0,579,266,25,270,561,18,0,PASIR PANJANG ,UNDI BIASA
9,132/32/07,SEKOLAH KEBANGSAAN PASIR PANJANG,4.0,550,275,22,250,547,3,0,PASIR PANJANG ,UNDI BIASA
10,132/32/08,SEKOLAH KEBANGSAAN INTAN PERDANA,1.0,289,184,18,78,280,9,0,BANDAR BARU SUNGGALA ,UNDI BIASA
10,132/32/08,SEKOLAH KEBANGSAAN INTAN PERDANA,2.0,583,347,30,193,570,13,0,BANDAR BARU SUNGGALA ,UNDI BIASA
10,132/32/08,SEKOLAH KEBANGSAAN INTAN PERDANA,3.0,535,234,45,251,530,5,0,BANDAR BARU SUNGGALA ,UNDI BIASA
10,132/32/08,SEKOLAH KEBANGSAAN INTAN PERDANA,4.0,531,231,55,242,528,3,0,BANDAR BARU SUNGGALA ,UNDI BIASA
10,132/32/08,SEKOLAH KEBANGSAAN INTAN PERDANA,5.0,509,181,58,268,507,2,0,BANDAR BARU SUNGGALA ,UNDI BIASA
10,132/32/08,SEKOLAH KEBANGSAAN INTAN PERDANA,6.0,500,226,48,223,497,3,0,BANDAR BARU SUNGGALA ,UNDI BIASA
