Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRUDDIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. ALIM SHAPIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI HAJI AHMAD HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,3.0,498,257,45,192,494,4,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,4.0,481,281,42,152,475,6,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,5.0,477,290,46,138,474,3,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,6.0,456,289,41,125,455,1,0,MERLIMAU PASIR ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,1.0,294,70,23,189,282,12,0,SEMPANG ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,2.0,560,143,82,330,555,5,0,SEMPANG ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,3.0,501,167,107,223,497,3,1,SEMPANG ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,4.0,509,220,76,208,504,5,0,SEMPANG ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,1.0,269,108,17,142,267,2,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,2.0,518,247,40,227,514,4,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,3.0,519,272,61,184,517,2,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,4.0,464,256,51,155,462,2,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,5.0,481,280,39,157,476,4,1,PENGKALAN SAMAK ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,1.0,279,86,17,167,270,9,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,2.0,520,178,55,282,515,5,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,3.0,491,206,57,227,490,1,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,4.0,479,206,90,180,476,3,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,5.0,482,198,92,186,476,6,0,PERMATANG SERAI ,UNDI BIASA
39,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,1.0,283,85,14,150,249,34,0,SERI MENDAPAT ,UNDI BIASA
39,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,2.0,444,165,51,225,441,3,0,SERI MENDAPAT ,UNDI BIASA
39,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,3.0,431,182,45,201,428,3,0,SERI MENDAPAT ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,1.0,283,89,25,160,274,9,0,BATU GAJAH ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,2.0,435,163,59,209,431,4,0,BATU GAJAH ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,3.0,411,180,75,155,410,1,0,BATU GAJAH ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,4.0,409,203,57,145,405,4,0,BATU GAJAH ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,1.0,271,84,28,149,261,10,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,2.0,555,212,83,254,549,6,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,3.0,544,198,113,229,540,4,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,4.0,508,248,93,165,506,2,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,5.0,497,218,107,166,491,6,0,SEBATU ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,1.0,273,75,23,164,262,11,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,2.0,490,162,44,278,484,6,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,3.0,490,167,63,256,486,3,1,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,4.0,461,211,80,170,461,0,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,5.0,441,212,54,172,438,3,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,6.0,476,205,71,198,474,2,0,PARIT PUTAT ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,1.0,292,82,23,183,288,4,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,2.0,493,145,60,273,478,15,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,3.0,476,189,81,204,474,2,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,4.0,460,196,87,174,457,3,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,5.0,454,178,81,194,453,1,0,PARIT PERAWAS ,UNDI BIASA
