Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZLINA BINTI AZINAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD RAWI BIN ABD HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JUHARI BIN BULAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",3.0,402,82,93,224,399,3,0,ULU MELAKA ,UNDI BIASA
9,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",4.0,391,78,73,237,388,3,0,ULU MELAKA ,UNDI BIASA
10,004/01/08,"SEKOLAH KEBANGSAAN NYIOR CHABANG, LANGKAWI",1.0,309,58,147,95,300,9,0,NYIOR CHABANG ,UNDI BIASA
10,004/01/08,"SEKOLAH KEBANGSAAN NYIOR CHABANG, LANGKAWI",2.0,560,124,209,222,555,5,0,NYIOR CHABANG ,UNDI BIASA
10,004/01/08,"SEKOLAH KEBANGSAAN NYIOR CHABANG, LANGKAWI",3.0,501,117,154,225,496,5,0,NYIOR CHABANG ,UNDI BIASA
11,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",1.0,350,165,108,29,302,14,34,PADANG KANDANG ,UNDI BIASA
11,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",2.0,530,264,150,114,528,2,0,PADANG KANDANG ,UNDI BIASA
11,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",3.0,501,272,115,111,498,3,0,PADANG KANDANG ,UNDI BIASA
11,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",4.0,470,236,104,126,466,4,0,PADANG KANDANG ,UNDI BIASA
12,004/01/10,"SEKOLAH KEBANGSAAN PADANG MATSIRAT, LANGKAWI",1.0,589,151,152,281,584,5,0,PADANG MATSIRAT ,UNDI BIASA
13,004/01/11,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA, LANGKAWI",1.0,284,51,117,114,282,2,0,KAMPUNG ATAS ,UNDI BIASA
13,004/01/11,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA, LANGKAWI",2.0,515,122,133,258,513,2,0,KAMPUNG ATAS ,UNDI BIASA
14,004/01/12,MAKTAB MAHMUD LANGKAWI,1.0,298,52,135,101,288,10,0,BUKIT KEMBOJA ,UNDI BIASA
14,004/01/12,MAKTAB MAHMUD LANGKAWI,2.0,559,108,192,251,551,8,0,BUKIT KEMBOJA ,UNDI BIASA
14,004/01/12,MAKTAB MAHMUD LANGKAWI,3.0,510,139,128,242,509,0,1,BUKIT KEMBOJA ,UNDI BIASA
14,004/01/12,MAKTAB MAHMUD LANGKAWI,4.0,497,127,117,251,495,2,0,BUKIT KEMBOJA ,UNDI BIASA
15,004/01/13,MAKTAB MAHMUD LANGKAWI,5.0,303,44,134,113,291,12,0,MAKAM MAHSURI ,UNDI BIASA
15,004/01/13,MAKTAB MAHMUD LANGKAWI,6.0,439,76,141,219,436,3,0,MAKAM MAHSURI ,UNDI BIASA
15,004/01/13,MAKTAB MAHMUD LANGKAWI,7.0,395,65,95,235,395,0,0,MAKAM MAHSURI ,UNDI BIASA
