Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' ABD AZIZ HJ. SHEIKH FADZIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,018/35/05,"SEKOLAH KEBANGSAAN GUNUNG BONGSU, KARANGAN",3.0,500,231,127,136,494,6,0,FELDA GUNONG BONGSU ,UNDI BIASA
9,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",1.0,275,102,134,32,268,7,0,KARANGAN ,UNDI BIASA
9,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",2.0,488,153,231,95,479,9,0,KARANGAN ,UNDI BIASA
9,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",3.0,443,100,208,130,438,5,0,KARANGAN ,UNDI BIASA
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",1.0,288,197,34,34,265,23,0,TERAP ,UNDI BIASA
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",2.0,566,293,118,149,560,6,0,TERAP ,UNDI BIASA
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",3.0,547,241,157,148,546,1,0,TERAP ,UNDI BIASA
11,018/35/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI ULAR, KULIM",1.0,296,117,143,27,287,9,0,LADANG SUNGAI ULAR ,UNDI BIASA
11,018/35/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI ULAR, KULIM",2.0,306,101,113,84,298,8,0,LADANG SUNGAI ULAR ,UNDI BIASA
12,018/35/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ANAK KULIM, KULIM",1.0,531,195,267,48,510,21,0,LADANG ANAK KULIM ,UNDI BIASA
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",1.0,270,110,125,30,265,5,0,JALAN TUNKU BENDAHARA ,UNDI BIASA
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",2.0,502,124,276,95,495,7,0,JALAN TUNKU BENDAHARA ,UNDI BIASA
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",3.0,466,110,252,103,465,1,0,JALAN TUNKU BENDAHARA ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",1.0,300,128,131,34,293,7,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",2.0,646,221,302,119,642,4,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",3.0,665,166,341,142,649,16,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",4.0,619,114,386,114,614,5,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",5.0,579,86,428,61,575,4,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",6.0,544,88,350,104,542,2,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",7.0,529,92,296,135,523,6,0,TAMAN KENARI ,UNDI BIASA
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",8.0,615,139,296,177,612,3,0,TAMAN KENARI ,UNDI BIASA
15,018/35/12,DEWAN BANDARAN KULIM,1.0,260,85,156,15,256,4,0,TAMAN TUNKU PUTRA ,UNDI BIASA
15,018/35/12,DEWAN BANDARAN KULIM,2.0,551,175,313,53,541,10,0,TAMAN TUNKU PUTRA ,UNDI BIASA
15,018/35/12,DEWAN BANDARAN KULIM,3.0,509,126,319,60,505,4,0,TAMAN TUNKU PUTRA ,UNDI BIASA
15,018/35/12,DEWAN BANDARAN KULIM,4.0,481,92,319,68,479,2,0,TAMAN TUNKU PUTRA ,UNDI BIASA
15,018/35/12,DEWAN BANDARAN KULIM,5.0,490,105,292,92,489,1,0,TAMAN TUNKU PUTRA ,UNDI BIASA
16,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",1.0,282,106,132,35,273,9,0,TAMAN SERI KULIM ,UNDI BIASA
16,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",2.0,321,80,188,48,316,5,0,TAMAN SERI KULIM ,UNDI BIASA
16,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",3.0,293,73,156,61,290,3,0,TAMAN SERI KULIM ,UNDI BIASA
17,018/35/14,"SEKOLAH MENENGAH AGAMA TARBIYYAH DINIAH, KULIM",1.0,274,45,221,5,271,3,0,PEKAN KULIM ,UNDI BIASA
17,018/35/14,"SEKOLAH MENENGAH AGAMA TARBIYYAH DINIAH, KULIM",2.0,294,27,246,20,293,1,0,PEKAN KULIM ,UNDI BIASA
18,018/35/15,"SEKOLAH MENENGAH KEBANGSAAN  ST. PATRICK, KULIM",1.0,512,74,408,21,503,9,0,JALAN TUNKU PUTRA ,UNDI BIASA
19,018/35/16,"SEKOLAH MENENGAH JENIS KEBANGSAAN CHIO MIN, KULIM",1.0,259,51,200,3,254,5,0,JALAN IBRAHIM ,UNDI BIASA
19,018/35/16,"SEKOLAH MENENGAH JENIS KEBANGSAAN CHIO MIN, KULIM",2.0,525,47,463,7,517,8,0,JALAN IBRAHIM ,UNDI BIASA
20,018/35/17,"SEKOLAH KEBANGSAAN SRI KULIM, TAMAN BERLIAN",1.0,266,67,178,21,266,0,0,BUKIT AWI ,UNDI BIASA
20,018/35/17,"SEKOLAH KEBANGSAAN SRI KULIM, TAMAN BERLIAN",2.0,356,58,253,45,356,0,0,BUKIT AWI ,UNDI BIASA
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",1.0,279,85,160,31,276,3,0,TAMAN BERSATU ,UNDI BIASA
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",2.0,593,169,331,87,587,6,0,TAMAN BERSATU ,UNDI BIASA
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",3.0,594,136,361,96,593,1,0,TAMAN BERSATU ,UNDI BIASA
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",4.0,544,105,345,93,543,1,0,TAMAN BERSATU ,UNDI BIASA
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",5.0,543,76,335,129,540,3,0,TAMAN BERSATU ,UNDI BIASA
22,018/35/19,"KOLEJ MARA, KULIM",1.0,278,116,128,30,274,4,0,AYER MERAH ,UNDI BIASA
22,018/35/19,"KOLEJ MARA, KULIM",2.0,626,152,384,86,622,4,0,AYER MERAH ,UNDI BIASA
22,018/35/19,"KOLEJ MARA, KULIM",3.0,578,106,380,90,576,2,0,AYER MERAH ,UNDI BIASA
23,018/35/20,KOLEJ VOKASIONAL KULIM,1.0,290,111,146,31,288,2,0,TAMAN ANGGERIK ,UNDI BIASA
23,018/35/20,KOLEJ VOKASIONAL KULIM,2.0,566,161,306,98,565,1,0,TAMAN ANGGERIK ,UNDI BIASA
23,018/35/20,KOLEJ VOKASIONAL KULIM,3.0,520,104,323,92,519,1,0,TAMAN ANGGERIK ,UNDI BIASA
23,018/35/20,KOLEJ VOKASIONAL KULIM,4.0,489,80,309,98,487,2,0,TAMAN ANGGERIK ,UNDI BIASA
23,018/35/20,KOLEJ VOKASIONAL KULIM,5.0,533,114,297,121,532,1,0,TAMAN ANGGERIK ,UNDI BIASA
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",1.0,289,54,218,8,280,9,0,JUNJONG ,UNDI BIASA
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",2.0,366,35,307,20,362,3,1,JUNJONG ,UNDI BIASA
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",3.0,346,44,271,30,345,1,0,JUNJONG ,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",1.0,287,171,40,65,276,11,0,PADANG PENYANGGA ,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",2.0,556,279,106,162,547,8,1,PADANG PENYANGGA ,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",3.0,529,186,124,214,524,5,0,PADANG PENYANGGA ,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",4.0,506,175,130,181,486,20,0,PADANG PENYANGGA ,UNDI BIASA
26,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",1.0,284,151,69,63,283,1,0,DURIAN BURONG ,UNDI BIASA
26,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",2.0,428,162,128,138,428,0,0,DURIAN BURONG ,UNDI BIASA
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",1.0,308,150,42,107,299,9,0,SUNGAI BATU ,UNDI BIASA
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",2.0,342,143,72,126,341,1,0,SUNGAI BATU ,UNDI BIASA
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",3.0,334,109,86,137,332,2,0,SUNGAI BATU ,UNDI BIASA
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",1.0,287,147,52,81,280,7,0,SUNGAI TAKA ,UNDI BIASA
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",2.0,408,147,79,175,401,7,0,SUNGAI TAKA ,UNDI BIASA
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",3.0,378,106,91,180,377,1,0,SUNGAI TAKA ,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",1.0,287,128,38,113,279,8,0,SUNGAI TENGAS ,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",2.0,490,222,99,168,489,1,0,SUNGAI TENGAS ,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",3.0,463,141,126,192,459,4,0,SUNGAI TENGAS ,UNDI BIASA
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",4.0,434,126,142,164,432,2,0,SUNGAI TENGAS ,UNDI BIASA
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",1.0,272,56,190,16,262,10,0,SELAMA ,UNDI BIASA
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",2.0,469,132,271,59,462,7,0,SELAMA ,UNDI BIASA
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",3.0,424,81,256,84,421,3,0,SELAMA ,UNDI BIASA
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",1.0,266,114,82,54,250,16,0,BATU LINTANG ,UNDI BIASA
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",2.0,521,201,155,140,496,25,0,BATU LINTANG ,UNDI BIASA
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",3.0,475,167,180,124,471,4,0,BATU LINTANG ,UNDI BIASA
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",1.0,265,84,157,22,263,2,0,KAMPUNG EE GUAN ,UNDI BIASA
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",2.0,412,103,264,39,406,6,0,KAMPUNG EE GUAN ,UNDI BIASA
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",3.0,370,78,231,61,370,0,0,KAMPUNG EE GUAN ,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",1.0,280,66,190,19,275,5,0,PEKAN SERDANG ,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",2.0,543,114,361,56,531,12,0,PEKAN SERDANG ,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",3.0,512,97,352,62,511,1,0,PEKAN SERDANG ,UNDI BIASA
33,018/36/07,"SEKOLAH KEBANGSAAN JALAN SELAMA, SERDANG",4.0,495,81,350,62,493,2,0,PEKAN SERDANG ,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",1.0,275,132,50,75,257,18,0,BATU 16 ,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",2.0,440,171,129,137,437,3,0,BATU 16 ,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",3.0,419,124,112,178,414,5,0,BATU 16 ,UNDI BIASA
34,018/36/08,"SEKOLAH KEBANGSAAN DATO' HJ ZAINUDDIN, SERDANG",4.0,386,116,121,135,372,14,0,BATU 16 ,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",1.0,302,173,32,89,294,8,0,RELAU ,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",2.0,454,209,76,162,447,7,0,RELAU ,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",3.0,442,165,85,188,438,4,0,RELAU ,UNDI BIASA
35,018/36/09,"SEKOLAH KEBANGSAAN RELAU, SUNGAI JAWI",4.0,404,130,99,172,401,3,0,RELAU ,UNDI BIASA
36,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",1.0,285,168,57,48,273,12,0,SUNGAI KECHIL ILLIR ,UNDI BIASA
36,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",2.0,577,231,184,129,544,33,0,SUNGAI KECHIL ILLIR ,UNDI BIASA
36,018/36/10,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ILIR, BANDAR BAHARU",3.0,547,209,168,156,533,14,0,SUNGAI KECHIL ILLIR ,UNDI BIASA
37,018/36/11,"SEKOLAH KEBANGSAAN AYER PUTEH AYER PUTEH, KAMPUNG",1.0,289,147,77,58,282,6,1,AYER PUTEH ,UNDI BIASA
37,018/36/11,"SEKOLAH KEBANGSAAN AYER PUTEH AYER PUTEH, KAMPUNG",2.0,325,89,124,111,324,1,0,AYER PUTEH ,UNDI BIASA
38,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",1.0,279,165,42,55,262,17,0,TELOK SERA ,UNDI BIASA
38,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",2.0,309,154,89,66,309,0,0,TELOK SERA ,UNDI BIASA
38,018/36/12,"SEKOLAH KEBANGSAAN LUBOK BUNTAR, LUBOK BUNTAR",3.0,292,113,80,96,289,3,0,TELOK SERA ,UNDI BIASA
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",1.0,273,98,110,60,268,5,0,PEKAN LUBOK BUNTAR ,UNDI BIASA
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",2.0,414,131,192,87,410,4,0,PEKAN LUBOK BUNTAR ,UNDI BIASA
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",3.0,393,99,169,124,392,1,0,PEKAN LUBOK BUNTAR ,UNDI BIASA
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",1.0,297,162,46,84,292,5,0,KERAT TELUNJOK ,UNDI BIASA
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",2.0,366,141,81,138,360,6,0,KERAT TELUNJOK ,UNDI BIASA
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",3.0,354,126,87,137,350,4,0,KERAT TELUNJOK ,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",1.0,279,103,116,50,269,10,0,SUNGAI KECHIL ULU ,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",2.0,519,157,240,109,506,11,2,SUNGAI KECHIL ULU ,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",3.0,474,127,239,105,471,3,0,SUNGAI KECHIL ULU ,UNDI BIASA
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU SUNGAI KECHIL ULU,",4.0,483,130,205,147,482,1,0,SUNGAI KECHIL ULU ,UNDI BIASA
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,1.0,288,153,45,83,281,7,0,PARIT NIBONG ,UNDI BIASA
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,2.0,522,195,123,191,509,13,0,PARIT NIBONG ,UNDI BIASA
42,018/36/16,PUSAT SUMBER KEMAS KEGIATAN DESA PARIT NIBONG,3.0,489,163,124,189,476,13,0,PARIT NIBONG ,UNDI BIASA
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, PASIR KAMPUNG PERMATANG",1.0,288,168,63,51,282,6,0,PERMATANG PASIR ,UNDI BIASA
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, PASIR KAMPUNG PERMATANG",2.0,482,178,180,117,475,7,0,PERMATANG PASIR ,UNDI BIASA
43,018/36/17,"SEKOLAH KEBANGSAAN PERMATANG PASIR, PASIR KAMPUNG PERMATANG",3.0,450,128,176,141,445,5,0,PERMATANG PASIR ,UNDI BIASA
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",1.0,279,114,111,50,275,4,0,BANDAR BAHARU ,UNDI BIASA
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",2.0,513,167,206,131,504,9,0,BANDAR BAHARU ,UNDI BIASA
44,018/36/18,"SEKOLAH KEBANGSAAN BANDAR BAHARU, BANDAR BAHARU",3.0,487,107,218,160,485,2,0,BANDAR BAHARU ,UNDI BIASA
