Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR.WAN AHMAD KAMIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ DATO' TUAN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
9,TELOK KANDIS 024/17/06,SEKOLAH MENENGAH KEBANGSAAN SALOR,1,299,41,0,58,196,295,3,1
9,TELOK KANDIS 024/17/06,SEKOLAH MENENGAH KEBANGSAAN SALOR,2,361,41,2,52,264,359,2,0
9,TELOK KANDIS 024/17/06,SEKOLAH MENENGAH KEBANGSAAN SALOR,3,381,45,0,67,258,370,11,0
10,SALOR 024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,4,291,55,1,80,153,289,2,0
10,SALOR 024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,5,486,82,2,111,286,481,5,0
10,SALOR 024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,6,432,82,4,78,267,431,1,0
10,SALOR 024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,7,514,81,2,72,357,512,2,0
11,"KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,1,304,31,5,101,165,302,2,0
11,"KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,2,352,43,9,102,195,349,3,0
11,"KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,3,382,57,7,88,228,380,2,0
11,"KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,4,357,51,0,71,234,356,1,0
11,"KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,5,395,75,7,89,224,395,0,0
11,"KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,6,483,77,5,76,324,482,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 3/11","KAMPUNG KUBANG RAWA
024/17/08",SEKOLAH KEBANGSAAN SALOR,6,483,77,5,76,324,482,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",5,76,324,482,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
12,"SEBERANG PASIR MAS
024/17/09",SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,1,335,49,3,122,156,330,5,0
12,"SEBERANG PASIR MAS
024/17/09",SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,2,353,59,0,101,187,347,6,0
12,"SEBERANG PASIR MAS
024/17/09",SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,3,391,62,2,109,211,384,7,0
12,"SEBERANG PASIR MAS
024/17/09",SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,4,380,60,1,102,214,377,3,0
12,"SEBERANG PASIR MAS
024/17/09",SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,5,452,60,2,104,286,452,0,0
13,PENGKALAN KUBOR 024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,1,315,34,2,95,179,310,5,0
13,PENGKALAN KUBOR 024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,2,390,44,5,83,256,388,2,0
13,PENGKALAN KUBOR 024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,3,353,41,2,64,246,353,0,0
13,PENGKALAN KUBOR 024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,4,426,59,5,95,265,424,2,0
14,DEWAN 024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,1,332,17,5,96,205,323,9,0
14,DEWAN 024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,2,409,35,0,92,278,405,4,0
14,DEWAN 024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,3,367,20,3,79,263,365,2,0
14,DEWAN 024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,4,457,31,1,113,312,457,0,0
15,BETA HILIR 024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,1,340,41,0,99,198,338,2,0
15,BETA HILIR 024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,2,539,39,2,138,355,534,5,0
15,BETA HILIR 024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,3,465,50,3,106,306,465,0,0
15,BETA HILIR 024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,4,584,80,3,111,390,584,0,0
16,LUBOK JAMBU 024/17/13,SEKOLAH KEBANGSAAN MULONG,1,229,16,0,41,169,226,3,0
16,LUBOK JAMBU 024/17/13,SEKOLAH KEBANGSAAN MULONG,2,374,14,1,52,303,370,4,0
16,LUBOK JAMBU 024/17/13,SEKOLAH KEBANGSAAN MULONG,3,390,29,3,79,279,390,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 4/11",LUBOK JAMBU 024/17/13,SEKOLAH KEBANGSAAN MULONG,3,390,29,3,79,279,390,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",3,79,279,390,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
17,KAMPUNG KOR 024/17/14,SEKOLAH KEBANGSAAN KOR,1,353,52,0,79,218,349,4,0
17,KAMPUNG KOR 024/17/14,SEKOLAH KEBANGSAAN KOR,2,428,70,1,66,289,426,2,0
17,KAMPUNG KOR 024/17/14,SEKOLAH KEBANGSAAN KOR,3,390,47,4,62,274,387,3,0
17,KAMPUNG KOR 024/17/14,SEKOLAH KEBANGSAAN KOR,4,449,60,0,83,300,443,6,0
18,BETA HULU 024/17/15,SEKOLAH KEBANGSAAN BETA HULU,1,326,24,0,66,227,317,9,0
18,BETA HULU 024/17/15,SEKOLAH KEBANGSAAN BETA HULU,2,433,32,3,66,325,426,7,0
18,BETA HULU 024/17/15,SEKOLAH KEBANGSAAN BETA HULU,3,371,22,1,39,303,365,6,0
18,BETA HULU 024/17/15,SEKOLAH KEBANGSAAN BETA HULU,4,439,35,3,66,335,439,0,0
19,KEDAI PIAH 024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,1,341,11,5,60,258,334,6,1
19,KEDAI PIAH 024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,2,425,29,0,64,328,421,4,0
19,KEDAI PIAH 024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,3,382,28,3,49,299,379,3,0
19,KEDAI PIAH 024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,4,454,42,0,49,362,453,1,0
20,PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,1,304,27,2,73,198,300,4,0
20,PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,2,341,34,3,70,230,337,4,0
20,PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,3,399,38,2,75,280,395,4,0
20,PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,4,388,51,0,65,270,386,2,0
20,PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,5,378,52,2,55,268,377,1,0
20,PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,6,463,63,2,67,331,463,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 5/11",PADANG ENGGANG 024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,6,463,63,2,67,331,463,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",2,67,331,463,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
21,PASIR HOR 024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,1,303,28,4,86,161,279,24,0
21,PASIR HOR 024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,2,364,43,4,100,203,350,14,0
21,PASIR HOR 024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,3,552,49,5,120,369,543,9,0
21,PASIR HOR 024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,4,480,48,2,84,345,479,1,0
21,PASIR HOR 024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,5,506,86,5,86,324,501,5,0
21,PASIR HOR 024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,6,602,90,6,99,407,602,0,0
22,TIONG 024/18/03,SEKOLAH KEBANGSAAN TIONG,1,307,29,1,84,191,305,2,0
22,TIONG 024/18/03,SEKOLAH KEBANGSAAN TIONG,2,354,35,5,84,225,349,5,0
22,TIONG 024/18/03,SEKOLAH KEBANGSAAN TIONG,3,516,49,5,102,355,511,5,0
22,TIONG 024/18/03,SEKOLAH KEBANGSAAN TIONG,4,515,58,2,96,355,511,4,0
22,TIONG 024/18/03,SEKOLAH KEBANGSAAN TIONG,5,623,70,6,98,445,619,4,0
23,TUNJONG 024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,1,338,27,0,97,205,329,8,1
23,TUNJONG 024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,2,468,34,1,85,339,459,9,0
23,TUNJONG 024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,3,397,27,2,74,291,394,3,0
23,TUNJONG 024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,4,415,36,1,94,284,415,0,0
23,TUNJONG 024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,5,471,48,3,62,356,469,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 6/11",TUNJONG 024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,5,471,48,3,62,356,469,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",3,62,356,469,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
24,KAMPUNG PARIT 024/18/05,SEKOLAH KEBANGSAAN SERIBONG,1,324,28,3,112,177,320,4,0
24,KAMPUNG PARIT 024/18/05,SEKOLAH KEBANGSAAN SERIBONG,2,369,37,4,86,239,366,3,0
24,KAMPUNG PARIT 024/18/05,SEKOLAH KEBANGSAAN SERIBONG,3,460,42,5,78,324,449,11,0
24,KAMPUNG PARIT 024/18/05,SEKOLAH KEBANGSAAN SERIBONG,4,440,44,4,86,306,440,0,0
24,KAMPUNG PARIT 024/18/05,SEKOLAH KEBANGSAAN SERIBONG,5,468,55,4,88,321,468,0,0
24,KAMPUNG PARIT 024/18/05,SEKOLAH KEBANGSAAN SERIBONG,6,561,72,1,87,399,559,2,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,1,309,49,7,69,181,306,3,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,2,333,65,6,64,197,332,1,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,3,468,59,7,81,318,465,3,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,4,418,53,1,78,284,416,2,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,5,406,67,4,53,281,405,1,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,6,471,100,3,56,310,469,2,0
25,PASIR TUMBOH 024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,7,558,105,5,64,379,553,5,0
26,KAMPUNG TERUSAN 024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,1,317,35,0,20,260,315,2,0
26,KAMPUNG TERUSAN 024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,2,484,57,5,39,383,484,0,0
26,KAMPUNG TERUSAN 024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,3,471,41,0,34,394,469,2,0
26,KAMPUNG TERUSAN 024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,4,515,37,0,29,441,507,8,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 7/11",KAMPUNG TERUSAN 024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,4,515,37,0,29,441,507,8,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,29,441,507,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
27,GUNTONG 024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,1,317,33,2,76,200,311,6,0
27,GUNTONG 024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,2,493,58,2,75,353,488,5,0
27,GUNTONG 024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,3,389,48,1,46,292,387,2,0
27,GUNTONG 024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,4,409,46,0,58,300,404,5,0
27,GUNTONG 024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,5,497,62,2,64,369,497,0,0
28,LATING 024/18/09,SEKOLAH KEBANGSAAN KAMPONG KELING,1,327,31,4,110,176,321,6,0
28,LATING 024/18/09,SEKOLAH KEBANGSAAN KAMPONG KELING,2,352,28,0,113,204,345,7,0
28,LATING 024/18/09,SEKOLAH KEBANGSAAN KAMPONG KELING,3,428,40,5,103,275,423,5,0
28,LATING 024/18/09,SEKOLAH KEBANGSAAN KAMPONG KELING,4,438,47,6,105,280,438,0,0
28,LATING 024/18/09,SEKOLAH KEBANGSAAN KAMPONG KELING,5,503,57,1,119,325,502,1,0
29,NILAM BARU 024/18/10,KOLEJ ISLAM ANTARABANGSA SULTAN ISMAIL PETRA,1,354,15,2,59,272,348,6,0
29,NILAM BARU 024/18/10,KOLEJ ISLAM ANTARABANGSA SULTAN ISMAIL PETRA,2,508,33,3,55,407,498,10,0
29,NILAM BARU 024/18/10,KOLEJ ISLAM ANTARABANGSA SULTAN ISMAIL PETRA,3,562,28,8,49,475,560,2,0
30,GONG DERMIN 024/18/11,SEKOLAH KEBANGSAAN GONG DERMIN,1,349,50,1,63,230,344,5,0
30,GONG DERMIN 024/18/11,SEKOLAH KEBANGSAAN GONG DERMIN,2,414,48,3,70,287,408,6,0
30,GONG DERMIN 024/18/11,SEKOLAH KEBANGSAAN GONG DERMIN,3,376,46,1,53,272,372,4,0
30,GONG DERMIN 024/18/11,SEKOLAH KEBANGSAAN GONG DERMIN,4,376,63,4,48,260,375,1,0
30,GONG DERMIN 024/18/11,SEKOLAH KEBANGSAAN GONG DERMIN,5,442,64,5,60,313,442,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 8/11",GONG DERMIN 024/18/11,SEKOLAH KEBANGSAAN GONG DERMIN,5,442,64,5,60,313,442,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",5,60,313,442,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DR.WAN AHMAD KAMIL,RIZAL,KAK LONG,USTAZ DATO' TUAN IBRAHIM,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
31,KAMPUNG PADANG 024/18/12,SEKOLAH MENENGAH KEBANGSAAN PUTERI SAADONG,1,296,29,1,52,212,294,2,0
31,KAMPUNG PADANG 024/18/12,SEKOLAH MENENGAH KEBANGSAAN PUTERI SAADONG,2,347,36,1,58,246,341,6,0
31,KAMPUNG PADANG 024/18/12,SEKOLAH MENENGAH KEBANGSAAN PUTERI SAADONG,3,484,32,3,74,366,475,9,0
31,KAMPUNG PADANG 024/18/12,SEKOLAH MENENGAH KEBANGSAAN PUTERI SAADONG,4,468,38,2,52,369,461,7,0
31,KAMPUNG PADANG 024/18/12,SEKOLAH MENENGAH KEBANGSAAN PUTERI SAADONG,5,569,38,4,85,441,568,1,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,1,314,37,2,50,220,309,5,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,2,335,39,5,37,251,332,3,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,3,449,60,6,63,311,440,9,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,4,375,45,3,43,280,371,4,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,5,365,46,1,49,269,365,0,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,6,419,64,4,60,290,418,1,0
32,DEMIT 024/19/01,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,7,482,66,5,69,340,480,2,0
33,WAKAF TANJONG 024/19/02,SEKOLAH KEBANGSAAN MENTUAN,1,351,38,7,86,214,345,6,0
33,WAKAF TANJONG 024/19/02,SEKOLAH KEBANGSAAN MENTUAN,2,540,59,3,96,373,531,9,0
33,WAKAF TANJONG 024/19/02,SEKOLAH KEBANGSAAN MENTUAN,3,478,50,5,67,355,477,1,0
33,WAKAF TANJONG 024/19/02,SEKOLAH KEBANGSAAN MENTUAN,4,554,59,4,73,416,552,2,0
34,MENTUAN 024/19/03,SEKOLAH KEBANGSAAN MENTUAN,5,326,16,4,89,213,322,4,0
34,MENTUAN 024/19/03,SEKOLAH KEBANGSAAN MENTUAN,6,442,45,5,88,298,436,6,0
34,MENTUAN 024/19/03,SEKOLAH KEBANGSAAN MENTUAN,7,375,30,4,67,269,370,5,0
34,MENTUAN 024/19/03,SEKOLAH KEBANGSAAN MENTUAN,8,433,38,4,73,317,432,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.024 KUBANG KERIAN
JUMLAH PEMILIH: 113,640                                                                                                                                                                                              MUKASURAT: 9/11",MENTUAN 024/19/03,SEKOLAH KEBANGSAAN MENTUAN,8,433,38,4,73,317,432,1,0
