Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI TAKIYUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR HAFIDZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HJ. ROSMADI ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANDY TAN @ AWANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF. DATO DR CHE MUSA CHE OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) IZAT BUKHARY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
24,KUBOR KUDA 021/09/12,SEKOLAH KEBANGSAAN KAMPUNG SIREH,5,400,186,104,103,0,2,0,395,5,0
24,KUBOR KUDA 021/09/12,SEKOLAH KEBANGSAAN KAMPUNG SIREH,6,455,240,99,111,2,1,0,453,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 9/12",KUBOR KUDA 021/09/12,SEKOLAH KEBANGSAAN KAMPUNG SIREH,6,455,240,99,111,2,1,0,453,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",99,111,2,1,0,453,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
25,KG SIREH BAWAH LEMBAH 021/10/01,TADIKA TENGKU ANIS 1,1,277,142,44,85,3,0,0,274,3,0
25,KG SIREH BAWAH LEMBAH 021/10/01,TADIKA TENGKU ANIS 1,2,336,167,80,85,0,2,0,334,2,0
25,KG SIREH BAWAH LEMBAH 021/10/01,TADIKA TENGKU ANIS 1,3,519,298,71,135,0,7,0,511,8,0
25,KG SIREH BAWAH LEMBAH 021/10/01,TADIKA TENGKU ANIS 1,4,434,271,58,100,0,1,1,431,3,0
25,KG SIREH BAWAH LEMBAH 021/10/01,TADIKA TENGKU ANIS 1,5,457,292,55,109,0,0,0,456,1,0
25,KG SIREH BAWAH LEMBAH 021/10/01,TADIKA TENGKU ANIS 1,6,484,311,55,111,0,3,0,480,4,0
26,WAKAF SIKU 021/10/02,SEKOLAH MENENGAH KEBANGSAAN AGAMA NAIM LIL-BANAT,1,233,84,100,42,1,1,1,229,4,0
26,WAKAF SIKU 021/10/02,SEKOLAH MENENGAH KEBANGSAAN AGAMA NAIM LIL-BANAT,2,310,126,114,66,1,2,0,309,1,0
26,WAKAF SIKU 021/10/02,SEKOLAH MENENGAH KEBANGSAAN AGAMA NAIM LIL-BANAT,3,369,143,122,99,1,4,0,369,0,0
27,JALAN RAJA DEWA 021/10/03,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,1,251,123,71,51,0,1,0,246,5,0
27,JALAN RAJA DEWA 021/10/03,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,2,316,156,105,50,0,2,0,313,3,0
27,JALAN RAJA DEWA 021/10/03,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,3,395,210,86,91,0,5,1,393,2,0
27,JALAN RAJA DEWA 021/10/03,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,4,387,209,102,71,0,3,2,387,0,0
27,JALAN RAJA DEWA 021/10/03,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,5,452,244,134,73,0,1,0,452,0,0
28,TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,1,272,106,83,73,2,3,0,267,5,0
28,TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,2,312,127,105,73,2,3,0,310,2,0
28,TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,3,383,180,109,89,1,3,1,383,0,0
28,TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,4,319,187,63,63,0,2,0,315,4,0
28,TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,5,312,150,94,65,0,2,0,311,1,0
28,TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,6,399,185,110,101,0,1,0,397,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                           MUKASURAT: 10/12",TELIPOT 021/10/04,MAKTAB SULTAN ISMAIL,6,399,185,110,101,0,1,0,397,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",110,101,0,1,0,397,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
29,KAMPUNG BELUKAR 021/10/05,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),1,286,153,39,89,1,2,0,284,2,0
29,KAMPUNG BELUKAR 021/10/05,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),2,360,202,35,114,0,4,1,356,4,0
29,KAMPUNG BELUKAR 021/10/05,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),3,452,270,60,111,0,8,0,449,3,0
29,KAMPUNG BELUKAR 021/10/05,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),4,442,248,69,118,0,3,2,440,2,0
29,KAMPUNG BELUKAR 021/10/05,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),5,536,291,120,117,0,5,1,534,2,0
30,"BUNUT PAYONG HILIR
021/10/06",SEKOLAH KEBANGSAAN SULTAN ISMAIL (1),1,296,164,66,58,2,4,0,294,2,0
30,"BUNUT PAYONG HILIR
021/10/06",SEKOLAH KEBANGSAAN SULTAN ISMAIL (1),2,345,180,81,74,0,5,0,340,5,0
30,"BUNUT PAYONG HILIR
021/10/06",SEKOLAH KEBANGSAAN SULTAN ISMAIL (1),3,418,248,79,78,1,4,0,410,8,0
30,"BUNUT PAYONG HILIR
021/10/06",SEKOLAH KEBANGSAAN SULTAN ISMAIL (1),4,375,210,87,73,0,4,1,375,0,0
30,"BUNUT PAYONG HILIR
021/10/06",SEKOLAH KEBANGSAAN SULTAN ISMAIL (1),5,453,256,86,97,0,4,2,445,8,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,1,284,160,34,84,0,4,0,282,2,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,2,345,192,45,98,0,1,0,336,9,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,3,348,194,63,85,0,2,0,344,4,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,4,450,270,52,121,0,5,0,448,2,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,5,415,266,44,101,0,3,0,414,1,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,6,397,256,51,86,0,2,0,395,2,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,7,400,251,68,75,0,2,0,396,4,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,8,419,281,63,73,0,1,0,418,1,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,9,464,272,82,101,2,5,0,462,2,0
31,PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,10,533,332,73,118,0,5,0,528,5,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                            MUKASURAT: 11/12",PINTU GENG 021/10/07,SEKOLAH MENENGAH KEBANGSAAN PINTU GENG,10,533,332,73,118,0,5,0,528,5,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",73,118,0,5,0,528,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
32,KOTA UTARA 021/10/08,SEKOLAH KEBANGSAAN KOTA,1,340,212,43,77,1,4,0,337,3,0
32,KOTA UTARA 021/10/08,SEKOLAH KEBANGSAAN KOTA,2,357,214,51,86,0,4,0,355,1,1
32,KOTA UTARA 021/10/08,SEKOLAH KEBANGSAAN KOTA,3,456,299,79,76,1,0,0,455,1,0
32,KOTA UTARA 021/10/08,SEKOLAH KEBANGSAAN KOTA,4,462,296,89,74,1,2,0,462,0,0
32,KOTA UTARA 021/10/08,SEKOLAH KEBANGSAAN KOTA,5,553,360,80,105,3,2,1,551,2,0
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,1,302,147,52,92,1,1,0,293,9,0
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,2,355,186,65,89,0,1,0,341,13,1
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,3,541,315,85,130,0,5,2,537,4,0
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,4,452,269,57,122,0,1,0,449,3,0
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,5,464,285,70,102,1,2,0,460,4,0
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,6,474,284,78,109,0,0,0,471,3,0
33,LUNDANG 021/10/09,SEKOLAH KEBANGSAAN LUNDANG,7,572,349,78,143,0,0,0,570,2,0
34,BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,1,319,162,53,94,0,2,0,311,8,0
34,BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,2,351,207,61,77,0,4,0,349,2,0
34,BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,3,453,283,69,92,0,3,0,447,6,0
34,BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,4,404,271,57,72,0,1,1,402,2,0
34,BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,5,453,288,68,93,2,2,0,453,0,0
34,BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,6,535,365,85,79,0,5,0,534,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                           MUKASURAT: 12/12",BUNUT PAYONG 021/10/10,SEKOLAH KEBANGSAAN BUNUT PAYONG,6,535,365,85,79,0,5,0,534,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",85,79,0,5,0,534,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
35,KAMPUNG WAKAF CHE YEH 021/10/11,SEKOLAH MENENGAH KEBANGSAAN KOTA,1,299,167,53,74,0,4,1,299,0,0
35,KAMPUNG WAKAF CHE YEH 021/10/11,SEKOLAH MENENGAH KEBANGSAAN KOTA,2,348,196,67,79,0,2,0,344,4,0
35,KAMPUNG WAKAF CHE YEH 021/10/11,SEKOLAH MENENGAH KEBANGSAAN KOTA,3,473,287,72,105,0,6,0,470,3,0
35,KAMPUNG WAKAF CHE YEH 021/10/11,SEKOLAH MENENGAH KEBANGSAAN KOTA,4,415,250,76,82,0,4,0,412,3,0
35,KAMPUNG WAKAF CHE YEH 021/10/11,SEKOLAH MENENGAH KEBANGSAAN KOTA,5,529,316,110,98,0,2,1,527,2,0
JUMLAH,JUMLAH,JUMLAH,201,79028,41869,19256,16168,107,528,91,78019,721,288
