Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG SOON KOH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG SING WEI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WATSON BANGAU ANAK JOHNATHAN RENANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :STANLEY CHIEW SUNG NGIE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :BENG KOR,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
12,212/53/10,ENGKILO,SEK. JENIS KEB. ING GUONG,1,496,269,1,7,211,4,492,4,0
13,212/53/11,LOWER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,1,208,98,0,1,105,2,206,2,0
13,212/53/11,LOWER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,2,305,127,6,2,169,1,305,0,0
13,212/53/11,LOWER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,3,316,134,4,2,175,0,315,1,0
13,212/53/11,LOWER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,4,310,99,2,1,207,0,309,1,0
13,212/53/11,LOWER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,5,298,126,4,1,164,2,297,1,0
14,212/53/12,UPPER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,6,201,76,3,0,120,2,201,0,0
14,212/53/12,UPPER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,7,377,150,6,3,214,2,375,2,0
14,212/53/12,UPPER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,8,356,125,2,2,227,0,356,0,0
14,212/53/12,UPPER ISLAND,SEK. JENIS KEB. CHUNG HUA JLN. LINTANG,9,359,132,3,4,217,3,359,0,0
15,212/53/13,TANAH MAS,TADIKA CHUNG HUA LORONG PADANG,1,259,105,2,3,145,2,257,2,0
JUMLAH,,,,47,14801,9015,100,569,4884,63,14631,149,21
