Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MOH HIONG KING,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CHIENG BUONG TOON,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :IRENE CHANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
4,211/51/03,KELADI,SEK. JENIS KEB. SUNG SANG,1,283,4,210,64,278,5,0
4,211/51/03,KELADI,SEK. JENIS KEB. SUNG SANG,2,438,5,338,90,433,5,0
4,211/51/03,KELADI,SEK. JENIS KEB. SUNG SANG,3,402,10,312,77,399,3,0
4,211/51/03,KELADI,SEK. JENIS KEB. SUNG SANG,4,355,9,255,90,354,1,0
4,211/51/03,KELADI,SEK. JENIS KEB. SUNG SANG,5,338,2,250,80,332,5,1
5,211/51/04,KAPOR LIMA,SEK. JENIS KEB. CHUNG SING LORONG 21 JLN. WONG KING HUO,1,264,6,109,149,264,0,0
5,211/51/04,KAPOR LIMA,SEK. JENIS KEB. CHUNG SING LORONG 21 JLN. WONG KING HUO,2,413,7,121,284,412,1,0
5,211/51/04,KAPOR LIMA,SEK. JENIS KEB. CHUNG SING LORONG 21 JLN. WONG KING HUO,3,384,11,89,281,381,3,0
5,211/51/04,KAPOR LIMA,SEK. JENIS KEB. CHUNG SING LORONG 21 JLN. WONG KING HUO,4,334,8,83,239,330,4,0
6,211/51/05,LEMBANGAN,SEK. KEB. ST. RITA JLN. BUKIT ASSEK,1,242,5,99,137,241,1,0
6,211/51/05,LEMBANGAN,SEK. KEB. ST. RITA JLN. BUKIT ASSEK,2,225,7,58,158,223,2,0
7,211/51/06,UK DAIK,SEK. TINGGI KATOLIK JLN. LANANG,1,204,2,82,117,201,3,0
7,211/51/06,UK DAIK,SEK. TINGGI KATOLIK JLN. LANANG,2,449,5,185,258,448,1,0
7,211/51/06,UK DAIK,SEK. TINGGI KATOLIK JLN. LANANG,3,435,7,153,273,433,2,0
7,211/51/06,UK DAIK,SEK. TINGGI KATOLIK JLN. LANANG,4,456,9,121,326,456,0,0
7,211/51/06,UK DAIK,SEK. TINGGI KATOLIK JLN. LANANG,5,441,8,117,313,438,3,0
7,211/51/06,UK DAIK,SEK. TINGGI KATOLIK JLN. LANANG,6,375,7,103,264,374,1,0
8,211/51/07,HARDIN,SEK. JENIS KEB. UK DAIK JLN. BUKIT ASSEK,1,194,3,94,96,193,1,0
8,211/51/07,HARDIN,SEK. JENIS KEB. UK DAIK JLN. BUKIT ASSEK,2,349,8,118,222,348,1,0
8,211/51/07,HARDIN,SEK. JENIS KEB. UK DAIK JLN. BUKIT ASSEK,3,351,8,116,227,351,0,0
8,211/51/07,HARDIN,SEK. JENIS KEB. UK DAIK JLN. BUKIT ASSEK,4,328,10,101,215,326,2,0
8,211/51/07,HARDIN,SEK. JENIS KEB. UK DAIK JLN. BUKIT ASSEK,5,313,9,83,220,312,1,0
9,211/51/08,LAI CHEE,SEK. MEN. KEB. ST. ELIZABETH JLN. OYA LAMA,1,224,2,84,131,217,7,0
9,211/51/08,LAI CHEE,SEK. MEN. KEB. ST. ELIZABETH JLN. OYA LAMA,2,347,7,100,236,343,4,0
9,211/51/08,LAI CHEE,SEK. MEN. KEB. ST. ELIZABETH JLN. OYA LAMA,3,372,6,93,272,371,1,0
10,211/51/09,MERLIN,SEK. MEN. KEB. ST. ELIZABETH JLN. OYA LAMA,4,224,6,75,140,221,3,0
10,211/51/09,MERLIN,SEK. MEN. KEB. ST. ELIZABETH JLN. OYA LAMA,5,264,6,84,174,264,0,0
10,211/51/09,MERLIN,SEK. MEN. KEB. ST. ELIZABETH JLN. OYA LAMA,6,229,2,73,151,226,3,0
11,211/51/10,HUA KIEW,SEK. MEN. KEB. SACRED HEART JLN. OYA,1,203,0,73,125,198,5,0
11,211/51/10,HUA KIEW,SEK. MEN. KEB. SACRED HEART JLN. OYA,2,412,11,136,259,406,6,0
11,211/51/10,HUA KIEW,SEK. MEN. KEB. SACRED HEART JLN. OYA,3,423,12,142,268,422,0,1
11,211/51/10,HUA KIEW,SEK. MEN. KEB. SACRED HEART JLN. OYA,4,407,4,119,281,404,3,0
11,211/51/10,HUA KIEW,SEK. MEN. KEB. SACRED HEART JLN. OYA,5,393,10,92,289,391,1,1
12,211/51/11,HIN YU,SEK. MEN. KEB. METHODIST JLN. TUN ABANG HAJI OPENG,1,168,7,65,95,167,1,0
12,211/51/11,HIN YU,SEK. MEN. KEB. METHODIST JLN. TUN ABANG HAJI OPENG,2,326,9,112,203,324,2,0
12,211/51/11,HIN YU,SEK. MEN. KEB. METHODIST JLN. TUN ABANG HAJI OPENG,3,331,7,102,222,331,0,0
12,211/51/11,HIN YU,SEK. MEN. KEB. METHODIST JLN. TUN ABANG HAJI OPENG,4,330,11,109,210,330,0,0
12,211/51/11,HIN YU,SEK. MEN. KEB. METHODIST JLN. TUN ABANG HAJI OPENG,5,311,9,86,215,310,1,0
12,211/51/11,HIN YU,SEK. MEN. KEB. METHODIST JLN. TUN ABANG HAJI OPENG,6,300,5,70,223,298,2,0
13,211/51/12,LAYANG - LAYANG,SEK. KEB. SACRED HEART JLN. OYA,1,238,5,74,158,237,1,0
13,211/51/12,LAYANG - LAYANG,SEK. KEB. SACRED HEART JLN. OYA,2,293,4,76,212,292,1,0
13,211/51/12,LAYANG - LAYANG,SEK. KEB. SACRED HEART JLN. OYA,3,276,3,63,208,274,2,0
14,211/51/13,MANGGIS,SEK. KEB. SACRED HEART JLN. OYA,4,342,9,114,218,341,1,0
15,211/51/14,MALING,SEK. MEN. KEB. SACRED HEART JLN. OYA,6,348,8,85,255,348,0,0
JUMLAH,,,,58,18881,374,6895,11392,18661,180,40
