Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO' IDRIS BUANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HJ. ABANG ABDUL HALIL BIN ABANG NAILI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ZULKIPLI BIN RAMZI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
5,197/16/03,BATU BLAT,SEK. KEB. KPG. BARU,3,460,361,28,61,450,10,0
6,197/16/04,TUANG,DEWAN KPG. TANJUNG BUNDONG,1,308,259,14,25,298,10,0
6,197/16/04,TUANG,DEWAN KPG. TANJUNG BUNDONG,2,406,304,14,65,383,23,0
6,197/16/04,TUANG,DEWAN KPG. TANJUNG BUNDONG,3,325,246,17,58,321,4,0
6,197/16/04,TUANG,DEWAN KPG. MUARA TUANG,1,251,195,23,23,241,10,0
6,197/16/04,TUANG,DEWAN KPG. MUARA TUANG,2,223,169,15,36,220,3,0
6,197/16/04,TUANG,SEK. KEB. DATO MOHAMAD MUSA SAMARAHAN,1,271,221,18,27,266,5,0
6,197/16/04,TUANG,SEK. KEB. DATO MOHAMAD MUSA SAMARAHAN,2,309,233,23,51,307,2,0
6,197/16/04,TUANG,DEWAN KPG. ENDAP,1,459,432,3,22,457,2,0
6,197/16/04,TUANG,SEK. KEB. PINANG,1,296,256,9,30,295,1,0
6,197/16/04,TUANG,SEK. KEB. PINANG,2,256,212,8,35,255,1,0
6,197/16/04,TUANG,SEK. KEB. MERANEK,1,276,239,11,19,269,7,0
6,197/16/04,TUANG,SEK. KEB. MERANEK,2,257,194,10,48,252,5,0
6,197/16/04,TUANG,SEK. KEB. KPG. REMBUS,1,352,281,44,23,348,4,0
7,197/16/05,SEMARAN,SEK. KEB. TANAH MERAH,1,145,108,25,8,141,4,0
7,197/16/05,SEMARAN,BALAI RAYA KPG. SEGENAM,1,92,71,10,6,87,5,0
7,197/16/05,SEMARAN,BANGSAL KPG. RAEH,1,87,79,1,5,85,2,0
7,197/16/05,SEMARAN,TADIKA KEMAS KPG. SOH,1,87,78,5,1,84,3,0
7,197/16/05,SEMARAN,SEK. KEB. GEMANG,1,364,259,64,28,351,13,0
7,197/16/05,SEMARAN,SEK. JENIS KEB. CHUNG HUA BATU 29 JLN. KUCHING/SERIAN,1,232,173,15,39,227,5,0
8,197/16/06,LADANG SAMARAHAN,SEK. KEB. LUBOK ANTU / REBAN,1,174,131,3,35,169,5,0
8,197/16/06,LADANG SAMARAHAN,SEK. KEB. PATI,1,345,313,7,23,343,2,0
8,197/16/06,LADANG SAMARAHAN,SEK. KEB. SAMARAHAN ESTATE,1,115,100,3,10,113,2,0
8,197/16/06,LADANG SAMARAHAN,DEWAN KPG. SENIAWAN,1,129,110,0,14,124,5,0
8,197/16/06,LADANG SAMARAHAN,SEK. KEB. PLAMAN BAKI (MENAUL),1,414,378,9,22,409,4,1
8,197/16/06,LADANG SAMARAHAN,BALAIRAYA KPG. TIAN MAWANG,1,256,234,15,2,251,5,0
8,197/16/06,LADANG SAMARAHAN,BALAIRAYA KPG. MURUD PLAMAN,1,260,225,15,3,243,17,0
9,197/16/07,MELABAN,DEWAN KPG. SEBAYOR,1,189,164,15,9,188,1,0
9,197/16/07,MELABAN,BALAI RAYA KPG. MELABAN,1,236,171,36,24,231,5,0
9,197/16/07,MELABAN,SEK. KEB. KPG. PLAIE,1,246,186,41,17,244,2,0
9,197/16/07,MELABAN,KPG. MANGKA (BANGSAL SEMENTARA),1,97,70,19,7,96,1,0
9,197/16/07,MELABAN,SEK. KEB. ST. MICHAEL ENTINGAN,1,325,233,72,16,321,4,0
JUMLAH,,,,51,12688,10086,765,1508,12359,269,60
