Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR. ANNUAR RAPA'EE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :TIONG ING TUNG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDUL RAAFIDIN BIN MAJIDI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,6,358,294,12,48,354,4,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,7,377,329,6,40,375,2,0
6,212/55/04,ILIR NANGKA,SEK. KEB. PERBANDARAN SIBU NO. 3 JLN. BANDONG,8,358,316,6,34,356,2,0
7,212/55/05,TEKU,SEK. JENIS KEB. KIANG HIN TEKU,1,193,93,34,66,193,0,0
7,212/55/05,TEKU,SEK. JENIS KEB. KIANG HIN TEKU,2,250,103,55,90,248,2,0
7,212/55/05,TEKU,SEK. JENIS KEB. GUONG MING SG. BIDUT,1,176,65,53,55,173,3,0
8,212/55/06,SEDUAN,"SEK. JENIS KEB. ( C ) THIAN CHIN, BATU 5 1/2 JLN. OYA",1,242,137,23,79,239,3,0
8,212/55/06,SEDUAN,"SEK. JENIS KEB. ( C ) THIAN CHIN, BATU 5 1/2 JLN. OYA",2,305,126,63,111,300,5,0
8,212/55/06,SEDUAN,SEK. KEB. ULU SG. MERAH BATU 8 1/2 JLN. OYA,1,250,212,8,27,247,3,0
8,212/55/06,SEDUAN,SEK. KEB. ULU SG. MERAH BATU 8 1/2 JLN. OYA,2,443,367,12,59,438,5,0
8,212/55/06,SEDUAN,SEK. KEB. ULU SG. MERAH BATU 8 1/2 JLN. OYA,3,425,336,19,69,424,1,0
8,212/55/06,SEDUAN,SEK. KEB. ULU SG. MERAH BATU 8 1/2 JLN. OYA,4,379,302,18,53,373,6,0
8,212/55/06,SEDUAN,SEK. KEB. ULU SG. MERAH BATU 8 1/2 JLN. OYA,5,369,294,19,53,366,3,0
8,212/55/06,SEDUAN,SEK. JENIS KEB. ( C ) NANG SANG JLN. ULU SG. MERAH,1,180,85,24,70,179,1,0
8,212/55/06,SEDUAN,SEK. JENIS KEB. ( C ) DUNG SANG BATU 2 1/2 JLN. OYA,1,287,79,78,129,286,1,0
9,212/55/07,TANGGI,AGRICULTURE FARMER TRAINING CENTRE BATU 20 3/4 JLN. OYA,1,377,342,7,12,361,16,0
10,212/55/08,RACE COURSE,SEK. KEB. ABANG ALI JLN. KPG. BAHARU SIBU,1,134,53,21,59,133,1,0
10,212/55/08,RACE COURSE,SEK. KEB. ABANG ALI JLN. KPG. BAHARU SIBU,2,358,116,77,164,357,1,0
10,212/55/08,RACE COURSE,SEK. KEB. ABANG ALI JLN. KPG. BAHARU SIBU,3,331,97,87,146,330,1,0
JUMLAH,,,,38,12613,9617,773,2000,12390,186,37
