P.078_N.01_078/01/06_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,3,538
P.078_N.01_078/01/06_4,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,4,513
P.078_N.01_078/01/07_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/07,HABU,SMK RINGLET,1,238
P.078_N.01_078/01/07_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/07,HABU,SMK RINGLET,2,381
P.078_N.01_078/01/08_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/08,LADANG BOH 1,SJK(T) LADANG BOH 1,1,108
P.078_N.01_078/01/09_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/09,LADANG BOH 2,SJK(T) LADANG BOH 2,1,127
P.078_N.01_078/01/10_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/10,KEA FARM,SJK(C) KEA FARM,1,354
P.078_N.01_078/01/11_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,1,226
P.078_N.01_078/01/11_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,2,517
P.078_N.01_078/01/11_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,3,516
P.078_N.01_078/01/11_4,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,4,477
P.078_N.01_078/01/11_5,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SMK SULTAN AHMAD SHAH,5,474
P.078_N.01_078/01/12_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,1,224
P.078_N.01_078/01/12_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,2,417
P.078_N.01_078/01/12_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,3,413
P.078_N.01_078/01/12_4,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,4,379
P.078_N.01_078/01/12_5,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,BERINCHANG,SJK(C) BRINCHANG,5,385
P.078_N.01_078/01/13_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/13,LADANG SUNGAI PALAS,SJK(T) LADANG SUNGAI PALAS,1,145
P.078_N.01_078/01/14_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/14,LADANG BLUE VALLEY,SJK(T) LADANG BLUE VALLEY,1,246
P.078_N.01_078/01/15_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,KAMPUNG RAJA,SK KAMPUNG RAJA,1,268
P.078_N.01_078/01/15_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,KAMPUNG RAJA,SK KAMPUNG RAJA,2,464
P.078_N.01_078/01/15_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,KAMPUNG RAJA,SK KAMPUNG RAJA,3,480
P.078_N.01_078/01/15_4,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,KAMPUNG RAJA,SK KAMPUNG RAJA,4,470
P.078_N.01_078/01/16_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/16,KUALA TERLA,SJK(C) KUALA TERLA,1,244
P.078_N.01_078/01/16_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/16,KUALA TERLA,SJK(C) KUALA TERLA,2,451
P.078_N.01_078/01/16_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/16,KUALA TERLA,SJK(C) KUALA TERLA,3,454
P.078_N.01_078/01/17_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/17,TERINGKAP,SJK(C) TRINGKAP,1,286
P.078_N.01_078/01/17_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/17,TERINGKAP,SJK(C) TRINGKAP,2,399
P.078_N.01_078/01/17_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/17,TERINGKAP,SJK(C) TRINGKAP,3,402
P.078_N.02_078/02/01_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/01,POS LANAI,SK LANAI,1,351
P.078_N.02_078/02/02_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/02,KUALA MEDANG,SK KUALA MEDANG,1,306
P.078_N.02_078/02/02_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/02,KUALA MEDANG,SK KUALA MEDANG,2,505
P.078_N.02_078/02/03_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/03,TANJUNG GAHAI,SK TANJUNG GAHAI,1,310
P.078_N.02_078/02/03_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/03,TANJUNG GAHAI,SK TANJUNG GAHAI,2,363
P.078_N.02_078/02/04_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/04,BUKIT KOTA,SK BATU YON,1,301
P.078_N.02_078/02/04_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/04,BUKIT KOTA,SK BATU YON,2,482
P.078_N.02_078/02/05_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/05,KAMPUNG KELEDEK,SK KAMPUNG KELEDEK,1,308
P.078_N.02_078/02/05_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/05,KAMPUNG KELEDEK,SK KAMPUNG KELEDEK,2,319
P.078_N.02_078/02/05_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/05,KAMPUNG KELEDEK,SK KAMPUNG KELEDEK,3,302
P.078_N.02_078/02/06_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/06,LUBUK KULIT,SK LUBOK KULIT,1,312
P.078_N.02_078/02/06_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/06,LUBUK KULIT,SK LUBOK KULIT,2,497
P.078_N.02_078/02/07_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/07,FELDA SUNGAI KOYAN SATU,SK LKTP SUNGAI KOYAN,1,303
P.078_N.02_078/02/07_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/07,FELDA SUNGAI KOYAN SATU,SK LKTP SUNGAI KOYAN,2,491
P.078_N.02_078/02/07_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/07,FELDA SUNGAI KOYAN SATU,SK LKTP SUNGAI KOYAN,3,449
P.078_N.02_078/02/08_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/08,FELDA SUNGAI KOYAN DUA & TIGA,SMK  SUNGAI KOYAN,1,269
P.078_N.02_078/02/08_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/08,FELDA SUNGAI KOYAN DUA & TIGA,SMK  SUNGAI KOYAN,2,371
P.078_N.02_078/02/08_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/08,FELDA SUNGAI KOYAN DUA & TIGA,SMK  SUNGAI KOYAN,3,356
P.078_N.02_078/02/08_4,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/08,FELDA SUNGAI KOYAN DUA & TIGA,SMK  SUNGAI KOYAN,4,332
P.078_N.02_078/02/08_5,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/08,FELDA SUNGAI KOYAN DUA & TIGA,SMK  SUNGAI KOYAN,5,317
P.078_N.02_078/02/09_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/09,POS BETAU,SK BETAU,1,281
P.078_N.02_078/02/09_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/09,POS BETAU,SK BETAU,2,426
P.078_N.02_078/02/09_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/09,POS BETAU,SK BETAU,3,422
P.078_N.02_078/02/10_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/10,POS SINDERUT,SK SENDERUT,1,307
P.078_N.02_078/02/10_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/10,POS SINDERUT,SK SENDERUT,2,430
P.078_N.02_078/02/10_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/10,POS SINDERUT,SK SENDERUT,3,358
P.078_N.02_078/02/11_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/11,POS LENJANG,SK LENJANG,1,236
P.078_N.02_078/02/11_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/11,POS LENJANG,SK LENJANG,2,239
P.078_N.02_078/02/12_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/12,POS TITUM,SK TITOM,1,212
,,,,,,,,,,,
P.079_P.079/POSTAL VOTE_UNDI POS_1,,POSTAL VOTE,P.079,LIPIS,P.079/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,1145
P.079_P.079/EARLY VOTE_079/03/00_1,,EARLY VOTE,P.079,LIPIS,P.079/EARLY VOTE,EARLY VOTE,079/03/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS PADANG TENGKU,1,30
P.079_P.079/EARLY VOTE_079/04/00_1,,EARLY VOTE,P.079,LIPIS,P.079/EARLY VOTE,EARLY VOTE,079/04/00,UNDI AWAL,KELAB POLIS IBU PEJABAT POLIS DAERAH LIPIS,1,267
P.079_P.079/EARLY VOTE_079/04/00_1,,EARLY VOTE,P.079,LIPIS,P.079/EARLY VOTE,EARLY VOTE,079/04/00,UNDI AWAL,DEWAN SERBAGUNA 8 RAMD,1,105
P.079_P.079/EARLY VOTE_079/04/00_2,,EARLY VOTE,P.079,LIPIS,P.079/EARLY VOTE,EARLY VOTE,079/04/00,UNDI AWAL,DEWAN SERBAGUNA 8 RAMD,2,153
P.079_P.079/EARLY VOTE_079/05/00_1,,EARLY VOTE,P.079,LIPIS,P.079/EARLY VOTE,EARLY VOTE,079/05/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BENTA,1,18
P.079_N.03_079/03/01_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/01,MERAPOH,SK MERAPOH,1,289
P.079_N.03_079/03/01_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/01,MERAPOH,SK MERAPOH,2,285
P.079_N.03_079/03/01_3,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/01,MERAPOH,SK MERAPOH,3,264
P.079_N.03_079/03/02_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/02,MENTARA,SMK MERAPOH,1,315
P.079_N.03_079/03/03_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/03,TELUK GUNUNG,SK TELUK GUNUNG,1,306
P.079_N.03_079/03/03_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/03,TELUK GUNUNG,SK TELUK GUNUNG,2,470
P.079_N.03_079/03/04_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/04,KAMPUNG PETOLA,BALAI RAYA KAMPUNG PETOLA,1,338
P.079_N.03_079/03/05_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/05,PAGAR SASAK,SK PAGAR SASAK,1,298
P.079_N.03_079/03/05_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/05,PAGAR SASAK,SK PAGAR SASAK,2,405
P.079_N.03_079/03/06_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/06,FELDA SUNGAI KECHAU,SK LKTP KECAU 1,1,301
P.079_N.03_079/03/06_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/06,FELDA SUNGAI KECHAU,SK LKTP KECAU 1,2,320
P.079_N.03_079/03/06_3,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/06,FELDA SUNGAI KECHAU,SK LKTP KECAU 1,3,307
P.079_N.03_079/03/07_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/07,LADANG SELBORNE,SJK(T) LADANG SELBORNE,1,260
P.079_N.03_079/03/08_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/08,PADANG TENGKU,SMK PADANG TENGKU,1,261
P.079_N.03_079/03/08_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/08,PADANG TENGKU,SMK PADANG TENGKU,2,350
P.079_N.03_079/03/08_3,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/08,PADANG TENGKU,SMK PADANG TENGKU,3,340
P.079_N.03_079/03/09_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/09,GUA,SK GUA,1,298
P.079_N.03_079/03/09_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/09,GUA,SK GUA,2,360
P.079_N.03_079/03/09_3,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/09,GUA,SK GUA,3,317
P.079_N.03_079/03/10_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/10,TEMPOYANG,DEWAN ORANG RAMAI KAMPUNG TEMPOYANG,1,307
P.079_N.03_079/03/10_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/10,TEMPOYANG,DEWAN ORANG RAMAI KAMPUNG TEMPOYANG,2,293
P.079_N.03_079/03/10_3,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/10,TEMPOYANG,DEWAN ORANG RAMAI KAMPUNG TEMPOYANG,3,294
P.079_N.03_079/03/11_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/11,BAPONG,BALAI RAYA KAMPUNG BAPONG,1,423
P.079_N.03_079/03/12_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/12,RELONG,SK RELONG,1,308
P.079_N.03_079/03/12_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/12,RELONG,SK RELONG,2,359
P.079_N.03_079/03/13_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/13,BERCHANG,SK BERCHANG,1,265
P.079_N.03_079/03/13_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/13,BERCHANG,SK BERCHANG,2,252
P.079_N.03_079/03/14_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/14,TELANG,SK KUALA TELANG,1,391
P.079_N.03_079/03/15_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/15,SEBERANG JELAI,BALAI RAYA KAMPUNG SEBERANG JELAI,1,254
P.079_N.03_079/03/16_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/16,KECHUR,SK KECHOR TUI,1,272
P.079_N.03_079/03/16_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/16,KECHUR,SK KECHOR TUI,2,251
P.079_N.03_079/03/17_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/17,AUR GADING,SK AUR GADING,1,254
P.079_N.03_079/03/18_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/18,CHEGAR PERAH,SK CHEGAR PERAH,1,435
P.079_N.03_079/03/19_1,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/19,SUNGAI TEMAU,SK (LKTP) CHEGAR PERAH,1,314
P.079_N.03_079/03/19_2,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/19,SUNGAI TEMAU,SK (LKTP) CHEGAR PERAH,2,293
P.079_N.03_079/03/19_3,,NORMAL VOTE,P.079,LIPIS,N.03,PADANG TENGKU,079/03/19,SUNGAI TEMAU,SK (LKTP) CHEGAR PERAH,3,273
P.079_N.04_079/04/01_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/01,KUALA LANAR,SK KUALA LANAR,1,284
P.079_N.04_079/04/01_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/01,KUALA LANAR,SK KUALA LANAR,2,302
P.079_N.04_079/04/01_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/01,KUALA LANAR,SK KUALA LANAR,3,283
P.079_N.04_079/04/02_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/02,KUALA KENONG,SK BATU 9,1,253
P.079_N.04_079/04/02_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/02,KUALA KENONG,SK BATU 9,2,243
P.079_N.04_079/04/03_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/03,MELA,SK MELA,1,278
P.079_N.04_079/04/03_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/03,MELA,SK MELA,2,416
P.079_N.04_079/04/03_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/03,MELA,SK MELA,3,355
P.079_N.04_079/04/04_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/04,KERAMBIT,SK KERAMBIT,1,294
P.079_N.04_079/04/04_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/04,KERAMBIT,SK KERAMBIT,2,346
P.079_N.04_079/04/04_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/04,KERAMBIT,SK KERAMBIT,3,309
P.079_N.04_079/04/05_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/05,KAMPUNG BARU PENJOM,SJK(C) PENJOM,1,237
P.079_N.04_079/04/05_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/05,KAMPUNG BARU PENJOM,SJK(C) PENJOM,2,230
P.079_N.04_079/04/06_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/06,PENJOM,SK PENJOM,1,289
P.079_N.04_079/04/06_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/06,PENJOM,SK PENJOM,2,348
P.079_N.04_079/04/06_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/06,PENJOM,SK PENJOM,3,344
P.079_N.04_079/04/07_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/07,CHENERAS,SK CLIFFORD,1,255
P.079_N.04_079/04/07_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/07,CHENERAS,SK CLIFFORD,2,426
P.079_N.04_079/04/07_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/07,CHENERAS,SK CLIFFORD,3,424
P.079_N.04_079/04/08_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/08,SUNGAI KERPAN,SJK(C) CHUNG HWA,1,241
P.079_N.04_079/04/08_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/08,SUNGAI KERPAN,SJK(C) CHUNG HWA,2,492
P.079_N.04_079/04/08_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/08,SUNGAI KERPAN,SJK(C) CHUNG HWA,3,444
P.079_N.04_079/04/08_4,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/08,SUNGAI KERPAN,SJK(C) CHUNG HWA,4,459
P.079_N.04_079/04/09_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/09,BATU KURAP,TADIKA KEKWA,1,315
P.079_N.04_079/04/10_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/10,BANDAR LIPIS,SMK CLIFFORD,1,181
P.079_N.04_079/04/10_2,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/10,BANDAR LIPIS,SMK CLIFFORD,2,227
P.079_N.04_079/04/10_3,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/10,BANDAR LIPIS,SMK CLIFFORD,3,203
P.079_N.04_079/04/11_1,,NORMAL VOTE,P.079,LIPIS,N.04,CHEKA,079/04/11,BUKIT BIUS,SK WAN IBRAHIM,1,279
P.079_N.05_079/05/01_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/01,KAMPUNG LALANG,BALAI RAYA KAMPUNG LALANG,1,185
P.079_N.05_079/05/02_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/02,RENGAI,KOLEJ VOKASIONAL SULTAN HAJI AHMAD SHAH AL-MUSTA'IN BILLAH,1,254
P.079_N.05_079/05/03_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/03,TANJUNG BESAR,SK TANJUNG BESAR,1,292
P.079_N.05_079/05/03_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/03,TANJUNG BESAR,SK TANJUNG BESAR,2,360
P.079_N.05_079/05/04_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/04,JERANSANG,SK JERANSANG,1,296
P.079_N.05_079/05/04_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/04,JERANSANG,SK JERANSANG,2,299
P.079_N.05_079/05/05_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/05,KEMAHANG,SK KEMAHANG,1,427
P.079_N.05_079/05/06_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/06,KAMPUNG CHAT,SK CHAT,1,288
P.079_N.05_079/05/06_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/06,KAMPUNG CHAT,SK CHAT,2,475
P.079_N.05_079/05/07_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/07,BUDU,SMK PANGLIMA GARANG ABDUL SAMAD,1,299
P.079_N.05_079/05/07_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/07,BUDU,SMK PANGLIMA GARANG ABDUL SAMAD,2,297
P.079_N.05_079/05/08_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/08,PEKAN BENTA,SK BENTA,1,295
P.079_N.05_079/05/08_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/08,PEKAN BENTA,SK BENTA,2,475
P.079_N.05_079/05/09_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/09,KAMPUNG BARU BENTA,SMK BENTA,1,261
P.079_N.05_079/05/09_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/09,KAMPUNG BARU BENTA,SMK BENTA,2,368
P.079_N.05_079/05/09_3,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/09,KAMPUNG BARU BENTA,SMK BENTA,3,350
P.079_N.05_079/05/10_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/10,JERKOH,SJK(C) JERKOH,1,292
P.079_N.05_079/05/10_2,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/10,JERKOH,SJK(C) JERKOH,2,475
P.079_N.05_079/05/10_3,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/10,JERKOH,SJK(C) JERKOH,3,469
P.079_N.05_079/05/11_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/11,LADANG BENTA,SJK(T) LADANG BENTA,1,316
P.079_N.05_079/05/12_1,,NORMAL VOTE,P.079,LIPIS,N.05,BENTA,079/05/12,LADANG BUDU,SJK(T) LADANG BUDU,1,96
,,,,,,,,,,,
