P.134_N.01_134/01/05_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/05,KUALA SUNGAI BARU ,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,2.0,358
P.134_N.01_134/01/05_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/05,KUALA SUNGAI BARU ,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,3.0,347
P.134_N.01_134/01/06_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG ,SEKOLAH KEBANGSAAN SUNGAI TUANG,1.0,295
P.134_N.01_134/01/06_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG ,SEKOLAH KEBANGSAAN SUNGAI TUANG,2.0,540
P.134_N.01_134/01/06_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG ,SEKOLAH KEBANGSAAN SUNGAI TUANG,3.0,536
P.134_N.01_134/01/07_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG ,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,1.0,309
P.134_N.01_134/01/07_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG ,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,2.0,516
P.134_N.01_134/01/07_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG ,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,3.0,476
P.134_N.01_134/01/07_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/07,TELOK GONG ,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,4.0,471
P.134_N.02_134/02/01_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/01,KAMPUNG PULAU ,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,1.0,312
P.134_N.02_134/02/01_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/01,KAMPUNG PULAU ,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,2.0,325
P.134_N.02_134/02/01_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/01,KAMPUNG PULAU ,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,3.0,308
P.134_N.02_134/02/02_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/02,LUBOK REDAN ,SEKOLAH KEBANGSAAN LUBOK REDAN,1.0,303
P.134_N.02_134/02/02_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/02,LUBOK REDAN ,SEKOLAH KEBANGSAAN LUBOK REDAN,2.0,447
P.134_N.02_134/02/02_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/02,LUBOK REDAN ,SEKOLAH KEBANGSAAN LUBOK REDAN,3.0,429
P.134_N.02_134/02/03_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH ,SEK. REN. AGAMA (JAIM) LONDANG,1.0,296
P.134_N.02_134/02/03_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH ,SEK. REN. AGAMA (JAIM) LONDANG,2.0,438
P.134_N.02_134/02/03_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH ,SEK. REN. AGAMA (JAIM) LONDANG,3.0,411
P.134_N.02_134/02/03_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/03,SUNGAI BARU TENGAH ,SEK. REN. AGAMA (JAIM) LONDANG,4.0,409
P.134_N.02_134/02/04_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK ,SEKOLAH KEBANGSAAN PENGKALAN BALAK,1.0,275
P.134_N.02_134/02/04_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK ,SEKOLAH KEBANGSAAN PENGKALAN BALAK,2.0,522
P.134_N.02_134/02/04_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK ,SEKOLAH KEBANGSAAN PENGKALAN BALAK,3.0,485
P.134_N.02_134/02/04_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK ,SEKOLAH KEBANGSAAN PENGKALAN BALAK,4.0,462
P.134_N.02_134/02/04_5.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/04,PENGKALAN BALAK ,SEKOLAH KEBANGSAAN PENGKALAN BALAK,5.0,476
P.134_N.02_134/02/05_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/05,PASIR GEMBOR ,SEKOLAH KEBANGSAAN TANJONG BIDARA,1.0,284
P.134_N.02_134/02/05_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/05,PASIR GEMBOR ,SEKOLAH KEBANGSAAN TANJONG BIDARA,2.0,564
P.134_N.02_134/02/05_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/05,PASIR GEMBOR ,SEKOLAH KEBANGSAAN TANJONG BIDARA,3.0,531
P.134_N.02_134/02/05_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/05,PASIR GEMBOR ,SEKOLAH KEBANGSAAN TANJONG BIDARA,4.0,497
P.134_N.02_134/02/05_5.0,,NORMAL VOTE,P.134,MASJID TANAH,N.02,TANJUNG BIDARA,134/02/05,PASIR GEMBOR ,SEKOLAH KEBANGSAAN TANJONG BIDARA,5.0,497
P.134_N.03_134/03/01_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/01,SUNGAI SIPUT ,SEKOLAH KEBANGSAAN SUNGAI SIPUT,1.0,290
P.134_N.03_134/03/01_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/01,SUNGAI SIPUT ,SEKOLAH KEBANGSAAN SUNGAI SIPUT,2.0,315
P.134_N.03_134/03/02_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/02,SUNGAI JERNEH ,SEKOLAH KEBANGSAAN SUNGAI JERNEH,1.0,311
P.134_N.03_134/03/03_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/03,RAMUAN CHINA KECHIL ,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,1.0,259
P.134_N.03_134/03/03_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/03,RAMUAN CHINA KECHIL ,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,2.0,441
P.134_N.03_134/03/03_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/03,RAMUAN CHINA KECHIL ,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,3.0,391
P.134_N.03_134/03/03_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/03,RAMUAN CHINA KECHIL ,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,4.0,392
P.134_N.03_134/03/04_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/04,FELCRA RAMUAN CHINA KECHIL ,SEK. REN. AGAMA (JAIM) FELCRA RAMUAN CHINA KECHIL,1.0,318
P.134_N.03_134/03/04_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/04,FELCRA RAMUAN CHINA KECHIL ,SEK. REN. AGAMA (JAIM) FELCRA RAMUAN CHINA KECHIL,2.0,413
P.134_N.03_134/03/05_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/05,RAMUAN CHINA BESAR ,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,1.0,256
P.134_N.03_134/03/05_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/05,RAMUAN CHINA BESAR ,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,2.0,522
P.134_N.03_134/03/05_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/05,RAMUAN CHINA BESAR ,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,3.0,480
P.134_N.03_134/03/05_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/05,RAMUAN CHINA BESAR ,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,4.0,450
P.134_N.03_134/03/06_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/06,KAMPUNG LEKOK ,SEKOLAH KEBANGSAAN DEMANG TAHA,1.0,284
P.134_N.03_134/03/06_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/06,KAMPUNG LEKOK ,SEKOLAH KEBANGSAAN DEMANG TAHA,2.0,636
P.134_N.03_134/03/06_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/06,KAMPUNG LEKOK ,SEKOLAH KEBANGSAAN DEMANG TAHA,3.0,594
P.134_N.03_134/03/06_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/06,KAMPUNG LEKOK ,SEKOLAH KEBANGSAAN DEMANG TAHA,4.0,560
P.134_N.03_134/03/06_5.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/06,KAMPUNG LEKOK ,SEKOLAH KEBANGSAAN DEMANG TAHA,5.0,560
P.134_N.03_134/03/07_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/07,KAMPUNG PINANG ,SEKOLAH KEBANGSAAN AYER LIMAU,1.0,275
P.134_N.03_134/03/07_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/07,KAMPUNG PINANG ,SEKOLAH KEBANGSAAN AYER LIMAU,2.0,476
P.134_N.03_134/03/07_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/07,KAMPUNG PINANG ,SEKOLAH KEBANGSAAN AYER LIMAU,3.0,430
P.134_N.03_134/03/07_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.03,AYER LIMAU,134/03/07,KAMPUNG PINANG ,SEKOLAH KEBANGSAAN AYER LIMAU,4.0,415
P.134_N.04_134/04/01_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/01,PEKAN MASJID TANAH ,SEKOLAH KEBANGSAAN SRI LAKSAMANA,1.0,256
P.134_N.04_134/04/01_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/01,PEKAN MASJID TANAH ,SEKOLAH KEBANGSAAN SRI LAKSAMANA,2.0,574
P.134_N.04_134/04/01_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/01,PEKAN MASJID TANAH ,SEKOLAH KEBANGSAAN SRI LAKSAMANA,3.0,568
P.134_N.04_134/04/01_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/01,PEKAN MASJID TANAH ,SEKOLAH KEBANGSAAN SRI LAKSAMANA,4.0,547
P.134_N.04_134/04/01_5.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/01,PEKAN MASJID TANAH ,SEKOLAH KEBANGSAAN SRI LAKSAMANA,5.0,538
P.134_N.04_134/04/02_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/02,DURIAN DAUN ,SEKOLAH KEBANGSAAN DURIAN DAUN (K),1.0,285
P.134_N.04_134/04/02_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/02,DURIAN DAUN ,SEKOLAH KEBANGSAAN DURIAN DAUN (K),2.0,532
P.134_N.04_134/04/02_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/02,DURIAN DAUN ,SEKOLAH KEBANGSAAN DURIAN DAUN (K),3.0,515
P.134_N.04_134/04/02_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/02,DURIAN DAUN ,SEKOLAH KEBANGSAAN DURIAN DAUN (K),4.0,505
P.134_N.04_134/04/03_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/03,SUNGAI BARU HULU ,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,1.0,285
P.134_N.04_134/04/03_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/03,SUNGAI BARU HULU ,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,2.0,584
P.134_N.04_134/04/03_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/03,SUNGAI BARU HULU ,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,3.0,548
P.134_N.04_134/04/03_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/03,SUNGAI BARU HULU ,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,4.0,524
P.134_N.04_134/04/04_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/04,PEKAN LENDU ,SEKOLAH KEBANGSAAN LENDU,1.0,287
P.134_N.04_134/04/04_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/04,PEKAN LENDU ,SEKOLAH KEBANGSAAN LENDU,2.0,607
P.134_N.04_134/04/04_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/04,PEKAN LENDU ,SEKOLAH KEBANGSAAN LENDU,3.0,556
P.134_N.04_134/04/04_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.04,LENDU,134/04/04,PEKAN LENDU ,SEKOLAH KEBANGSAAN LENDU,4.0,530
P.134_N.05_134/05/01_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/01,CHERANA PUTEH ,SEKOLAH KEBANGSAAN CHERANA PUTEH,1.0,290
P.134_N.05_134/05/01_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/01,CHERANA PUTEH ,SEKOLAH KEBANGSAAN CHERANA PUTEH,2.0,443
P.134_N.05_134/05/01_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/01,CHERANA PUTEH ,SEKOLAH KEBANGSAAN CHERANA PUTEH,3.0,430
P.134_N.05_134/05/01_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/01,CHERANA PUTEH ,SEKOLAH KEBANGSAAN CHERANA PUTEH,4.0,422
P.134_N.05_134/05/02_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/02,SIMPANG EMPAT ,SEKOLAH KEBANGSAAN SIMPANG EMPAT,1.0,276
P.134_N.05_134/05/02_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/02,SIMPANG EMPAT ,SEKOLAH KEBANGSAAN SIMPANG EMPAT,2.0,501
P.134_N.05_134/05/02_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/02,SIMPANG EMPAT ,SEKOLAH KEBANGSAAN SIMPANG EMPAT,3.0,458
P.134_N.05_134/05/02_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/02,SIMPANG EMPAT ,SEKOLAH KEBANGSAAN SIMPANG EMPAT,4.0,446
P.134_N.05_134/05/03_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/03,BERISU ,SEKOLAH KEBANGSAAN BERISU,1.0,280
P.134_N.05_134/05/03_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/03,BERISU ,SEKOLAH KEBANGSAAN BERISU,2.0,310
P.134_N.05_134/05/04_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/04,SUNGAI BULOH ,SEKOLAH KEBANGSAAN SUNGAI BULOH,1.0,513
P.134_N.05_134/05/05_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/05,BATANG MELEKEK ,SEKOLAH KEBANGSAAN MELEKEK,1.0,276
P.134_N.05_134/05/05_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/05,BATANG MELEKEK ,SEKOLAH KEBANGSAAN MELEKEK,2.0,414
P.134_N.05_134/05/05_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/05,BATANG MELEKEK ,SEKOLAH KEBANGSAAN MELEKEK,3.0,396
P.134_N.05_134/05/06_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/06,RANTAU PANJANG ,SEKOLAH KEBANGSAAN RANTAU PANJANG,1.0,279
P.134_N.05_134/05/06_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/06,RANTAU PANJANG ,SEKOLAH KEBANGSAAN RANTAU PANJANG,2.0,284
P.134_N.05_134/05/07_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/07,AYER PAABAS ,SEKOLAH KEBANGSAAN AYER PA'ABAS,1.0,286
P.134_N.05_134/05/07_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/07,AYER PAABAS ,SEKOLAH KEBANGSAAN AYER PA'ABAS,2.0,380
P.134_N.05_134/05/07_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.05,TABOH NANING,134/05/07,AYER PAABAS ,SEKOLAH KEBANGSAAN AYER PA'ABAS,3.0,378
,,,,,,,,,,,
P.135_P.135/POSTAL VOTE_UNDI POS_,,POSTAL VOTE,P.135,ALOR GAJAH,P.135/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,,1123
P.135_P.135/EARLY VOTE_135/06/00_1.0,,EARLY VOTE,P.135,ALOR GAJAH,P.135/EARLY VOTE,EARLY VOTE,135/06/00,UNDI AWAL ,BILIK TAKLIMAT BALAI POLIS TRAFIK ALOR GAJAH,1.0,87
P.135_P.135/EARLY VOTE_135/07/00_1.0,,EARLY VOTE,P.135,ALOR GAJAH,P.135/EARLY VOTE,EARLY VOTE,135/07/00,UNDI AWAL ,RUANG REHAT BALAI POLIS GADEK,1.0,38
P.135_P.135/EARLY VOTE_135/08/00_1.0,,EARLY VOTE,P.135,ALOR GAJAH,P.135/EARLY VOTE,EARLY VOTE,135/08/00,UNDI AWAL ,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH ALOR GAJAH,1.0,344
P.135_P.135/EARLY VOTE_135/09/00_1.0,,EARLY VOTE,P.135,ALOR GAJAH,P.135/EARLY VOTE,EARLY VOTE,135/09/00,UNDI AWAL ,BILIK PENERANGAN BALAI POLIS DURIAN TUNGGAL,1.0,19
P.135_P.135/EARLY VOTE_135/10/00_1.0,,EARLY VOTE,P.135,ALOR GAJAH,P.135/EARLY VOTE,EARLY VOTE,135/10/00,UNDI AWAL ,BILIK MESYUARAT BALAI POLIS SELANDAR,1.0,30
P.135_N.06_135/06/01_1.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/01,PEKAN ALOR GAJAH ,SEKOLAH KEBANGSAAN ALOR GAJAH 1,1.0,251
P.135_N.06_135/06/01_2.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/01,PEKAN ALOR GAJAH ,SEKOLAH KEBANGSAAN ALOR GAJAH 1,2.0,610
P.135_N.06_135/06/01_3.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/01,PEKAN ALOR GAJAH ,SEKOLAH KEBANGSAAN ALOR GAJAH 1,3.0,599
P.135_N.06_135/06/01_4.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/01,PEKAN ALOR GAJAH ,SEKOLAH KEBANGSAAN ALOR GAJAH 1,4.0,568
P.135_N.06_135/06/01_5.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/01,PEKAN ALOR GAJAH ,SEKOLAH KEBANGSAAN ALOR GAJAH 1,5.0,549
P.135_N.06_135/06/02_1.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/02,KELEMAK ,SEKOLAH KEBANGSAAN DATO' NANING,1.0,260
P.135_N.06_135/06/02_2.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/02,KELEMAK ,SEKOLAH KEBANGSAAN DATO' NANING,2.0,462
P.135_N.06_135/06/02_3.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/02,KELEMAK ,SEKOLAH KEBANGSAAN DATO' NANING,3.0,447
P.135_N.06_135/06/02_4.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/02,KELEMAK ,SEKOLAH KEBANGSAAN DATO' NANING,4.0,422
P.135_N.06_135/06/02_5.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/02,KELEMAK ,SEKOLAH KEBANGSAAN DATO' NANING,5.0,410
P.135_N.06_135/06/03_1.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/03,JELATANG ,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,1.0,294
P.135_N.06_135/06/03_2.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/03,JELATANG ,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,2.0,505
P.135_N.06_135/06/03_3.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/03,JELATANG ,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,3.0,477
P.135_N.06_135/06/03_4.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/03,JELATANG ,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,4.0,454
P.135_N.06_135/06/03_5.0,,NORMAL VOTE,P.135,ALOR GAJAH,N.06,REMBIA,135/06/03,JELATANG ,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,5.0,461
