Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. GHANI BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) OTHMAN BIN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUKHRIZ MAHATHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
15,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",1,291,72,120,94,286,5,0,TOK KEPAK,UNDI BIASA
15,005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",2,507,118,162,226,506,1,0,TOK KEPAK,UNDI BIASA
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",1,266,65,117,70,252,14,0,SG KOROK 2 MK SANGLANG,UNDI BIASA
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",2,439,117,150,164,431,8,0,SG KOROK 2 MK SANGLANG,UNDI BIASA
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",3,388,109,110,163,382,6,0,SG KOROK 2 MK SANGLANG,UNDI BIASA
16,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",4,402,128,78,196,402,0,0,SG KOROK 2 MK SANGLANG,UNDI BIASA
17,005/03/14,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",5,418,134,127,142,403,14,1,SG KOROK,UNDI BIASA
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",1,273,28,88,129,245,28,0,KAMPUNG SANGLANG,UNDI BIASA
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",2,510,80,147,280,507,3,0,KAMPUNG SANGLANG,UNDI BIASA
18,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",3,449,73,107,266,446,3,0,KAMPUNG SANGLANG,UNDI BIASA
19,005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",1,306,45,143,115,303,3,0,KERPAN,UNDI BIASA
19,005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",2,376,47,129,200,376,0,0,KERPAN,UNDI BIASA
20,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",1,288,31,132,113,276,12,0,KUALA SANGLANG,UNDI BIASA
20,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",2,407,61,153,190,404,3,0,KUALA SANGLANG,UNDI BIASA
20,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",3,378,56,125,196,377,1,0,KUALA SANGLANG,UNDI BIASA
21,005/04/01,"SEKOLAH KEBANGSAAN SIPUTEH, PADANG SERA",1,308,11,66,226,303,5,0,PADANG SERA,UNDI BIASA
21,005/04/01,"SEKOLAH KEBANGSAAN SIPUTEH, PADANG SERA",2,368,36,47,283,366,2,0,PADANG SERA,UNDI BIASA
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",1,271,26,114,126,266,5,0,KAMPUNG MELELE,UNDI BIASA
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",2,523,49,198,267,514,9,0,KAMPUNG MELELE,UNDI BIASA
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",3,512,61,156,290,507,5,0,KAMPUNG MELELE,UNDI BIASA
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",4,456,53,112,286,451,5,0,KAMPUNG MELELE,UNDI BIASA
22,005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",5,440,62,99,278,439,1,0,KAMPUNG MELELE,UNDI BIASA
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",1,295,51,134,101,286,9,0,KAMPUNG PUTAT,UNDI BIASA
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",2,541,81,227,230,538,3,0,KAMPUNG PUTAT,UNDI BIASA
23,005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",3,478,113,137,221,471,7,0,KAMPUNG PUTAT,UNDI BIASA
24,005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",1,310,60,131,116,307,3,0,KAMPUNG IMAM,UNDI BIASA
24,005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",2,402,78,121,200,399,3,0,KAMPUNG IMAM,UNDI BIASA
24,005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",3,354,78,83,193,354,0,0,KAMPUNG IMAM,UNDI BIASA
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",1,275,107,76,75,258,17,0,TELAGA BATU,UNDI BIASA
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",2,522,227,120,164,511,11,0,TELAGA BATU,UNDI BIASA
25,005/04/05,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",3,476,160,91,222,473,3,0,TELAGA BATU,UNDI BIASA
26,005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",1,306,151,69,77,297,9,0,PADANG PERAHU,UNDI BIASA
26,005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",2,443,206,85,140,431,9,3,PADANG PERAHU,UNDI BIASA
26,005/04/06,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",3,407,166,64,175,405,2,0,PADANG PERAHU,UNDI BIASA
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",1,298,102,112,73,287,11,0,KAMPUNG PIDA,UNDI BIASA
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",2,608,188,181,230,599,9,0,KAMPUNG PIDA,UNDI BIASA
27,005/04/07,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",3,573,198,107,264,569,4,0,KAMPUNG PIDA,UNDI BIASA
28,005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",1,284,110,106,47,263,21,0,KAMPUNG GURINDAM,UNDI BIASA
28,005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",2,470,163,146,159,468,2,0,KAMPUNG GURINDAM,UNDI BIASA
28,005/04/08,"SEKOLAH KEBANGSAAN PULAU CHAPA, JITRA",3,421,166,91,164,421,0,0,KAMPUNG GURINDAM,UNDI BIASA
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",1,252,105,65,63,233,19,0,ALOR BIAK,UNDI BIASA
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",2,477,196,106,171,473,4,0,ALOR BIAK,UNDI BIASA
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",3,447,162,94,187,443,4,0,ALOR BIAK,UNDI BIASA
29,005/04/09,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, SUNGAI KOROK",4,425,179,47,199,425,0,0,ALOR BIAK,UNDI BIASA
30,005/04/10,"SEKOLAH KEBANGSAAN SERI MUDA, ALOR BIAK",1,299,132,55,102,289,10,0,KUBANG SEPAT,UNDI BIASA
30,005/04/10,"SEKOLAH KEBANGSAAN SERI MUDA, ALOR BIAK",2,483,178,117,183,478,3,2,KUBANG SEPAT,UNDI BIASA
30,005/04/10,"SEKOLAH KEBANGSAAN SERI MUDA, ALOR BIAK",3,473,195,91,185,471,2,0,KUBANG SEPAT,UNDI BIASA
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",1,276,98,106,61,265,11,0,LANA BULU,UNDI BIASA
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",2,603,177,215,202,594,9,0,LANA BULU,UNDI BIASA
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",3,553,149,147,252,548,5,0,LANA BULU,UNDI BIASA
31,005/04/11,"SEKOLAH KEBANGSAAN DATO' SRI SYED AHMAD, AYER HITAM",4,526,190,123,211,524,2,0,LANA BULU,UNDI BIASA
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",1,301,159,79,52,290,11,0,PERMATANG PAKU,UNDI BIASA
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",2,439,204,112,117,433,6,0,PERMATANG PAKU,UNDI BIASA
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",3,408,178,102,127,407,1,0,PERMATANG PAKU,UNDI BIASA
32,005/04/12,"SEKOLAH KEBANGSAAN MATANG PAKU, AYER HITAM",4,399,202,68,129,399,0,0,PERMATANG PAKU,UNDI BIASA
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",1,300,158,84,51,293,7,0,MATANG BONGLAI,UNDI BIASA
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",2,422,184,114,119,417,5,0,MATANG BONGLAI,UNDI BIASA
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",3,384,173,61,147,381,3,0,MATANG BONGLAI,UNDI BIASA
33,005/04/13,"SEKOLAH KEBANGSAAN TUNKU LAKSAMANA, AYER HITAM",4,391,188,68,131,387,4,0,MATANG BONGLAI,UNDI BIASA
34,005/04/14,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",1,276,74,91,106,271,5,0,JERLUN,UNDI BIASA
34,005/04/14,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",2,471,93,147,225,465,6,0,JERLUN,UNDI BIASA
34,005/04/14,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",3,445,111,116,216,443,2,0,JERLUN,UNDI BIASA
34,005/04/14,"SEKOLAH KEBANGSAAN JERLUN, AYER HITAM",4,442,128,105,208,441,1,0,JERLUN,UNDI BIASA
35,005/04/15,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",1,267,61,121,67,249,18,0,LUBOK PINANG,UNDI BIASA
35,005/04/15,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",2,585,136,213,228,577,8,0,LUBOK PINANG,UNDI BIASA
35,005/04/15,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",3,496,157,127,210,494,2,0,LUBOK PINANG,UNDI BIASA
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",1,282,48,106,120,274,8,0,PEKAN AYER HITAM,UNDI BIASA
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",2,470,77,125,257,459,11,0,PEKAN AYER HITAM,UNDI BIASA
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",3,429,101,71,251,423,6,0,PEKAN AYER HITAM,UNDI BIASA
36,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",4,413,121,80,211,412,1,0,PEKAN AYER HITAM,UNDI BIASA
37,005/04/17,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",1,286,144,83,51,278,8,0,KAMPUNG GANDAI,UNDI BIASA
37,005/04/17,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",2,432,188,119,120,427,5,0,KAMPUNG GANDAI,UNDI BIASA
37,005/04/17,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",3,385,150,97,138,385,0,0,KAMPUNG GANDAI,UNDI BIASA
38,005/04/18,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",1,301,72,142,71,285,16,0,KUBANG NIPAH,UNDI BIASA
38,005/04/18,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",2,448,74,206,166,446,2,0,KUBANG NIPAH,UNDI BIASA
38,005/04/18,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",3,401,94,136,169,399,2,0,KUBANG NIPAH,UNDI BIASA
