Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI LIOW TIONG LAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BALASUBRAMANIAM A/L NACHIAPPAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG TACK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,089/33/06,SJK(C) KHAI MUN REPAS,3,474,123,23,328,474,0,0,REPAS,UNDI BIASA
12,089/33/07,SJK(C) KHAI MUN CHAMANG,1,273,143,15,95,253,20,0,CHAMANG LUAR,UNDI BIASA
12,089/33/07,SJK(C) KHAI MUN CHAMANG,2,430,180,29,216,425,5,0,CHAMANG LUAR,UNDI BIASA
12,089/33/07,SJK(C) KHAI MUN CHAMANG,3,399,165,37,192,394,5,0,CHAMANG LUAR,UNDI BIASA
12,089/33/07,SJK(C) KHAI MUN CHAMANG,4,391,123,47,219,389,2,0,CHAMANG LUAR,UNDI BIASA
13,089/33/08,SMK KHAI MUN,1,289,129,13,147,289,0,0,CHAMANG BAHARU,UNDI BIASA
13,089/33/08,SMK KHAI MUN,2,433,160,37,232,429,4,0,CHAMANG BAHARU,UNDI BIASA
13,089/33/08,SMK KHAI MUN,3,413,142,51,220,413,0,0,CHAMANG BAHARU,UNDI BIASA
14,089/33/09,DEWAN ORANG RAMAI DESA DAMAI,1,304,125,12,158,295,7,2,DESA DAMAI,UNDI BIASA
14,089/33/09,DEWAN ORANG RAMAI DESA DAMAI,2,573,182,59,327,568,5,0,DESA DAMAI,UNDI BIASA
14,089/33/09,DEWAN ORANG RAMAI DESA DAMAI,3,552,146,56,346,548,4,0,DESA DAMAI,UNDI BIASA
15,089/33/10,SJK(C) SUNGAI PENJURING,1,186,92,4,86,182,4,0,SUNGAI PENJURING,UNDI BIASA
15,089/33/10,SJK(C) SUNGAI PENJURING,2,243,78,2,162,242,1,0,SUNGAI PENJURING,UNDI BIASA
16,089/34/01,SK LKTP MEMPAGA 2,1,325,196,100,22,318,7,0,FELDA MEMPAGA 2,UNDI BIASA
16,089/34/01,SK LKTP MEMPAGA 2,2,425,221,141,58,420,5,0,FELDA MEMPAGA 2,UNDI BIASA
17,089/34/02,SEKOLAH AGAMA RAKYAT MEMPAGA 3,1,328,240,35,31,306,22,0,FELDA MEMPAGA 3,UNDI BIASA
17,089/34/02,SEKOLAH AGAMA RAKYAT MEMPAGA 3,2,322,193,71,55,319,3,0,FELDA MEMPAGA 3,UNDI BIASA
17,089/34/02,SEKOLAH AGAMA RAKYAT MEMPAGA 3,3,312,206,51,55,312,0,0,FELDA MEMPAGA 3,UNDI BIASA
18,089/34/03,SK LKTP MEMPAGA 1,1,300,187,84,25,296,4,0,FELDA MEMPAGA 1,UNDI BIASA
18,089/34/03,SK LKTP MEMPAGA 1,2,475,261,118,92,471,4,0,FELDA MEMPAGA 1,UNDI BIASA
18,089/34/03,SK LKTP MEMPAGA 1,3,438,222,127,85,434,4,0,FELDA MEMPAGA 1,UNDI BIASA
18,089/34/03,SK LKTP MEMPAGA 1,4,439,210,119,103,432,6,1,FELDA MEMPAGA 1,UNDI BIASA
19,089/34/04,SK SUNGAI DUA,1,266,125,4,130,259,7,0,SUNGAI DUA,UNDI BIASA
19,089/34/04,SK SUNGAI DUA,2,298,87,3,206,296,2,0,SUNGAI DUA,UNDI BIASA
19,089/34/04,SK SUNGAI DUA,3,294,112,2,178,292,2,0,SUNGAI DUA,UNDI BIASA
20,089/34/05,SK JANDA BAIK,1,313,230,18,59,307,6,0,JANDA BAIK,UNDI BIASA
20,089/34/05,SK JANDA BAIK,2,388,240,34,107,381,7,0,JANDA BAIK,UNDI BIASA
20,089/34/05,SK JANDA BAIK,3,375,225,29,117,371,4,0,JANDA BAIK,UNDI BIASA
21,089/34/06,SJK(C) BUKIT TINGGI,1,297,167,1,125,293,4,0,BUKIT TINGGI,UNDI BIASA
21,089/34/06,SJK(C) BUKIT TINGGI,2,417,163,5,247,415,2,0,BUKIT TINGGI,UNDI BIASA
21,089/34/06,SJK(C) BUKIT TINGGI,3,395,130,7,256,393,2,0,BUKIT TINGGI,UNDI BIASA
22,089/34/07,SK SRI LAYANG,1,232,132,12,88,232,0,0,SRI LAYANG,UNDI BIASA
23,089/34/08,GENTING CENTRE OF EXCELLENCE RESIDENTIAL STAFF COMPLEX 8,1,105,23,1,80,104,1,0,GENTING HIGHLANDS,UNDI BIASA
23,089/34/08,GENTING CENTRE OF EXCELLENCE RESIDENTIAL STAFF COMPLEX 8,2,200,38,1,161,200,0,0,GENTING HIGHLANDS,UNDI BIASA
23,089/34/08,GENTING CENTRE OF EXCELLENCE RESIDENTIAL STAFF COMPLEX 8,3,221,42,2,175,219,2,0,GENTING HIGHLANDS,UNDI BIASA
23,089/34/08,GENTING CENTRE OF EXCELLENCE RESIDENTIAL STAFF COMPLEX 8,4,207,36,5,166,207,0,0,GENTING HIGHLANDS,UNDI BIASA
24,089/34/09,SMK BENTONG,1,303,176,42,76,294,9,0,BENUS,UNDI BIASA
24,089/34/09,SMK BENTONG,2,532,288,78,160,526,6,0,BENUS,UNDI BIASA
24,089/34/09,SMK BENTONG,3,489,225,78,182,485,4,0,BENUS,UNDI BIASA
24,089/34/09,SMK BENTONG,4,465,220,58,184,462,3,0,BENUS,UNDI BIASA
24,089/34/09,SMK BENTONG,5,445,177,73,191,441,4,0,BENUS,UNDI BIASA
24,089/34/09,SMK BENTONG,6,468,202,70,195,467,1,0,BENUS,UNDI BIASA
25,089/34/10,SMK KETARI,1,350,99,12,119,230,5,115,KETARI,UNDI BIASA
25,089/34/10,SMK KETARI,2,517,185,30,297,512,5,0,KETARI,UNDI BIASA
25,089/34/10,SMK KETARI,3,519,151,39,324,514,5,0,KETARI,UNDI BIASA
25,089/34/10,SMK KETARI,4,500,146,51,301,498,2,0,KETARI,UNDI BIASA
25,089/34/10,SMK KETARI,5,503,121,33,347,501,2,0,KETARI,UNDI BIASA
25,089/34/10,SMK KETARI,6,494,121,47,324,492,1,1,KETARI,UNDI BIASA
26,089/34/11,SJK(C) PERTING,1,276,89,4,177,270,6,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,2,461,150,3,301,454,7,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,3,465,78,1,380,459,6,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,4,475,69,0,404,473,2,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,5,452,66,0,383,449,3,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,6,446,50,1,394,445,1,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,7,451,49,3,398,450,1,0,PERTING,UNDI BIASA
26,089/34/11,SJK(C) PERTING,8,460,29,1,429,459,1,0,PERTING,UNDI BIASA
27,089/34/12,SK TUANKU FATIMAH,1,285,156,28,99,283,2,0,KAMPUNG BAHARU,UNDI BIASA
27,089/34/12,SK TUANKU FATIMAH,2,489,196,64,225,485,4,0,KAMPUNG BAHARU,UNDI BIASA
27,089/34/12,SK TUANKU FATIMAH,3,462,126,65,268,459,3,0,KAMPUNG BAHARU,UNDI BIASA
28,089/34/13,SJK(C) KETARI,1,277,109,10,155,274,3,0,SUNGAI MARONG,UNDI BIASA
28,089/34/13,SJK(C) KETARI,2,471,113,16,341,470,1,0,SUNGAI MARONG,UNDI BIASA
28,089/34/13,SJK(C) KETARI,3,488,95,21,370,486,2,0,SUNGAI MARONG,UNDI BIASA
29,089/35/01,SK LKTP KAMPUNG SERTIK,1,306,231,37,23,291,15,0,FELDA SERTIK,UNDI BIASA
29,089/35/01,SK LKTP KAMPUNG SERTIK,2,454,303,79,68,450,4,0,FELDA SERTIK,UNDI BIASA
29,089/35/01,SK LKTP KAMPUNG SERTIK,3,412,250,84,70,404,8,0,FELDA SERTIK,UNDI BIASA
29,089/35/01,SK LKTP KAMPUNG SERTIK,4,432,265,79,86,430,2,0,FELDA SERTIK,UNDI BIASA
30,089/35/02,SK JAMBU RIAS,1,272,175,33,59,267,5,0,JAMBU RIAS,UNDI BIASA
30,089/35/02,SK JAMBU RIAS,2,398,259,53,78,390,8,0,JAMBU RIAS,UNDI BIASA
30,089/35/02,SK JAMBU RIAS,3,395,227,83,79,389,6,0,JAMBU RIAS,UNDI BIASA
31,089/35/03,SJK(T) SRI TELEMONG,1,229,100,11,111,222,7,0,SRI TELEMONG,UNDI BIASA
31,089/35/03,SJK(T) SRI TELEMONG,2,338,94,6,225,325,13,0,SRI TELEMONG,UNDI BIASA
32,089/35/04,SMK KARAK,1,283,144,15,114,273,10,0,PEKAN KARAK,UNDI BIASA
32,089/35/04,SMK KARAK,2,522,251,20,245,516,6,0,PEKAN KARAK,UNDI BIASA
32,089/35/04,SMK KARAK,3,496,192,27,274,493,3,0,PEKAN KARAK,UNDI BIASA
32,089/35/04,SMK KARAK,4,500,149,25,325,499,1,0,PEKAN KARAK,UNDI BIASA
32,089/35/04,SMK KARAK,5,458,129,21,308,458,0,0,PEKAN KARAK,UNDI BIASA
32,089/35/04,SMK KARAK,6,502,154,26,320,500,2,0,PEKAN KARAK,UNDI BIASA
33,089/35/05,SMK KARAK SETIA,1,294,179,39,66,284,10,0,KARAK SETIA,UNDI BIASA
33,089/35/05,SMK KARAK SETIA,2,302,162,62,76,300,2,0,KARAK SETIA,UNDI BIASA
33,089/35/05,SMK KARAK SETIA,3,297,131,64,100,295,2,0,KARAK SETIA,UNDI BIASA
34,089/35/06,SJK(T) KARAK,1,274,143,10,115,268,6,0,BUKIT DINDING,UNDI BIASA
34,089/35/06,SJK(T) KARAK,2,434,181,23,221,425,9,0,BUKIT DINDING,UNDI BIASA
35,089/35/07,SJK(C) KARAK,1,283,130,7,141,278,5,0,TAMAN KARAK,UNDI BIASA
35,089/35/07,SJK(C) KARAK,2,337,77,9,247,333,4,0,TAMAN KARAK,UNDI BIASA
36,089/35/08,SK KARAK,1,260,121,8,126,255,5,0,KAMPUNG BARU KARAK,UNDI BIASA
36,089/35/08,SK KARAK,2,445,179,5,257,441,4,0,KAMPUNG BARU KARAK,UNDI BIASA
36,089/35/08,SK KARAK,3,413,99,7,306,412,1,0,KAMPUNG BARU KARAK,UNDI BIASA
36,089/35/08,SK KARAK,4,398,53,2,343,398,0,0,KAMPUNG BARU KARAK,UNDI BIASA
37,089/36/01,SK LKTP KEMASUL,1,323,201,93,18,312,11,0,FELDA SUNGAI KEMASUL,UNDI BIASA
37,089/36/01,SK LKTP KEMASUL,2,519,314,173,26,513,5,1,FELDA SUNGAI KEMASUL,UNDI BIASA
37,089/36/01,SK LKTP KEMASUL,3,437,218,136,78,432,5,0,FELDA SUNGAI KEMASUL,UNDI BIASA
37,089/36/01,SK LKTP KEMASUL,4,456,229,167,58,454,2,0,FELDA SUNGAI KEMASUL,UNDI BIASA
38,089/36/02,SMK LKTP CHEMOMOI,1,306,222,45,19,286,19,1,FELDA CHEMOMOI,UNDI BIASA
38,089/36/02,SMK LKTP CHEMOMOI,2,567,383,113,60,556,10,1,FELDA CHEMOMOI,UNDI BIASA
38,089/36/02,SMK LKTP CHEMOMOI,3,497,285,109,99,493,4,0,FELDA CHEMOMOI,UNDI BIASA
38,089/36/02,SMK LKTP CHEMOMOI,4,483,219,117,144,480,3,0,FELDA CHEMOMOI,UNDI BIASA
39,089/36/03,SK LKTP SUNGAI KEMAHAL,1,296,219,33,35,287,9,0,FELDA SUNGAI KEMAHAL,UNDI BIASA
39,089/36/03,SK LKTP SUNGAI KEMAHAL,2,518,291,110,103,504,14,0,FELDA SUNGAI KEMAHAL,UNDI BIASA
39,089/36/03,SK LKTP SUNGAI KEMAHAL,3,464,190,143,130,463,1,0,FELDA SUNGAI KEMAHAL,UNDI BIASA
40,089/36/04,SK PELANGAI JAWI-JAWI,1,306,217,34,41,292,14,0,KAMPUNG JAWI-JAWI,UNDI BIASA
40,089/36/04,SK PELANGAI JAWI-JAWI,2,334,221,56,54,331,3,0,KAMPUNG JAWI-JAWI,UNDI BIASA
40,089/36/04,SK PELANGAI JAWI-JAWI,3,325,186,56,81,323,2,0,KAMPUNG JAWI-JAWI,UNDI BIASA
41,089/36/05,SMK SERI PELANGAI,1,294,186,34,63,283,11,0,SIMPANG PELANGAI,UNDI BIASA
41,089/36/05,SMK SERI PELANGAI,2,457,236,87,133,456,1,0,SIMPANG PELANGAI,UNDI BIASA
41,089/36/05,SMK SERI PELANGAI,3,456,214,86,154,454,2,0,SIMPANG PELANGAI,UNDI BIASA
42,089/36/06,SJK(C) MANCHIS,1,300,170,11,113,294,6,0,MANCHIS,UNDI BIASA
42,089/36/06,SJK(C) MANCHIS,2,347,159,22,163,344,3,0,MANCHIS,UNDI BIASA
42,089/36/06,SJK(C) MANCHIS,3,354,173,21,157,351,3,0,MANCHIS,UNDI BIASA
43,089/36/07,DEWAN SERBAGUNA SUNGAI GAPOI,1,256,110,12,122,244,12,0,SUNGAI GAPOI,UNDI BIASA
43,089/36/07,DEWAN SERBAGUNA SUNGAI GAPOI,2,586,346,14,213,573,12,1,SUNGAI GAPOI,UNDI BIASA
44,089/36/08,SJK(C) TELEMONG,1,288,151,4,131,286,2,0,TELEMONG,UNDI BIASA
44,089/36/08,SJK(C) TELEMONG,2,436,170,1,256,427,9,0,TELEMONG,UNDI BIASA
44,089/36/08,SJK(C) TELEMONG,3,409,88,4,316,408,1,0,TELEMONG,UNDI BIASA
45,089/36/09,BALAI RAYA KG. SUNGAI PERDAK,1,320,158,8,138,304,16,0,SUNGAI PERDAK,UNDI BIASA
